 numangles= 181
  g= 4.37525D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       5.4920D+00       5.4920D+00       5.4920D+00       0.0000D+00       5.4920D+00       0.0000D+00
    1.0000D+00       5.4871D+00       5.4890D+00       5.4880D+00       1.2611D-03       5.4880D+00       1.8112D-04
    2.0000D+00       5.4721D+00       5.4801D+00       5.4761D+00       5.0333D-03       5.4761D+00       7.2445D-04
    3.0000D+00       5.4474D+00       5.4652D+00       5.4562D+00       1.1283D-02       5.4563D+00       1.6299D-03
    4.0000D+00       5.4129D+00       5.4444D+00       5.4286D+00       1.9956D-02       5.4287D+00       2.8971D-03
    5.0000D+00       5.3690D+00       5.4178D+00       5.3933D+00       3.0976D-02       5.3934D+00       4.5259D-03
    6.0000D+00       5.3159D+00       5.3857D+00       5.3504D+00       4.4247D-02       5.3508D+00       6.5157D-03
    7.0000D+00       5.2540D+00       5.3480D+00       5.3003D+00       5.9654D-02       5.3010D+00       8.8660D-03
    8.0000D+00       5.1836D+00       5.3050D+00       5.2432D+00       7.7064D-02       5.2443D+00       1.1576D-02
    9.0000D+00       5.1051D+00       5.2568D+00       5.1792D+00       9.6330D-02       5.1810D+00       1.4645D-02
    1.0000D+01       5.0190D+00       5.2038D+00       5.1088D+00       1.1729D-01       5.1114D+00       1.8071D-02
    1.1000D+01       4.9259D+00       5.1460D+00       5.0323D+00       1.3977D-01       5.0360D+00       2.1854D-02
    1.2000D+01       4.8263D+00       5.0839D+00       4.9499D+00       1.6358D-01       4.9551D+00       2.5991D-02
    1.3000D+01       4.7207D+00       5.0175D+00       4.8621D+00       1.8854D-01       4.8691D+00       3.0481D-02
    1.4000D+01       4.6098D+00       4.9473D+00       4.7692D+00       2.1444D-01       4.7785D+00       3.5320D-02
    1.5000D+01       4.4940D+00       4.8735D+00       4.6717D+00       2.4109D-01       4.6838D+00       4.0507D-02
    1.6000D+01       4.3742D+00       4.7963D+00       4.5700D+00       2.6828D-01       4.5853D+00       4.6038D-02
    1.7000D+01       4.2507D+00       4.7162D+00       4.4644D+00       2.9581D-01       4.4835D+00       5.1909D-02
    1.8000D+01       4.1244D+00       4.6334D+00       4.3555D+00       3.2348D-01       4.3789D+00       5.8115D-02
    1.9000D+01       3.9958D+00       4.5481D+00       4.2436D+00       3.5110D-01       4.2720D+00       6.4652D-02
    2.0000D+01       3.8654D+00       4.4608D+00       4.1292D+00       3.7848D-01       4.1631D+00       7.1514D-02
    2.1000D+01       3.7339D+00       4.3717D+00       4.0126D+00       4.0544D-01       4.0528D+00       7.8693D-02
    2.2000D+01       3.6018D+00       4.2812D+00       3.8944D+00       4.3181D-01       3.9415D+00       8.6184D-02
    2.3000D+01       3.4696D+00       4.1894D+00       3.7749D+00       4.5744D-01       3.8295D+00       9.3977D-02
    2.4000D+01       3.3379D+00       4.0967D+00       3.6545D+00       4.8217D-01       3.7173D+00       1.0206D-01
    2.5000D+01       3.2071D+00       4.0034D+00       3.5335D+00       5.0588D-01       3.6053D+00       1.1043D-01
    2.6000D+01       3.0777D+00       3.9098D+00       3.4125D+00       5.2844D-01       3.4938D+00       1.1908D-01
    2.7000D+01       2.9501D+00       3.8160D+00       3.2916D+00       5.4976D-01       3.3831D+00       1.2798D-01
    2.8000D+01       2.8246D+00       3.7224D+00       3.1713D+00       5.6973D-01       3.2735D+00       1.3713D-01
    2.9000D+01       2.7016D+00       3.6291D+00       3.0518D+00       5.8828D-01       3.1654D+00       1.4651D-01
    3.0000D+01       2.5814D+00       3.5364D+00       2.9335D+00       6.0536D-01       3.0589D+00       1.5611D-01
    3.1000D+01       2.4642D+00       3.4445D+00       2.8165D+00       6.2092D-01       2.9543D+00       1.6592D-01
    3.2000D+01       2.3502D+00       3.3536D+00       2.7013D+00       6.3491D-01       2.8519D+00       1.7590D-01
    3.3000D+01       2.2398D+00       3.2637D+00       2.5879D+00       6.4733D-01       2.7517D+00       1.8606D-01
    3.4000D+01       2.1329D+00       3.1752D+00       2.4766D+00       6.5817D-01       2.6540D+00       1.9636D-01
