 numangles= 181
  g= 5.99782D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       9.1312D+00       9.1312D+00       9.1312D+00       0.0000D+00       9.1312D+00       0.0000D+00
    1.0000D+00       9.1189D+00       9.1191D+00       9.1190D+00       1.8112D-03       9.1190D+00       9.5050D-06
    2.0000D+00       9.0820D+00       9.0827D+00       9.0823D+00       7.2072D-03       9.0823D+00       3.8002D-05
    3.0000D+00       9.0210D+00       9.0225D+00       9.0217D+00       1.6077D-02       9.0218D+00       8.5440D-05
    4.0000D+00       8.9366D+00       8.9393D+00       8.9379D+00       2.8238D-02       8.9379D+00       1.5174D-04
    5.0000D+00       8.8298D+00       8.8339D+00       8.8317D+00       4.3443D-02       8.8318D+00       2.3680D-04
    6.0000D+00       8.7017D+00       8.7076D+00       8.7043D+00       6.1389D-02       8.7047D+00       3.4054D-04
    7.0000D+00       8.5539D+00       8.5618D+00       8.5572D+00       8.1723D-02       8.5579D+00       4.6286D-04
    8.0000D+00       8.3879D+00       8.3980D+00       8.3918D+00       1.0405D-01       8.3930D+00       6.0374D-04
    9.0000D+00       8.2055D+00       8.2180D+00       8.2100D+00       1.2796D-01       8.2117D+00       7.6320D-04
    1.0000D+01       8.0085D+00       8.0236D+00       8.0134D+00       1.5302D-01       8.0160D+00       9.4137D-04
    1.1000D+01       7.7989D+00       7.8167D+00       7.8041D+00       1.7878D-01       7.8078D+00       1.1385D-03
    1.2000D+01       7.5786D+00       7.5992D+00       7.5839D+00       2.0482D-01       7.5889D+00       1.3550D-03
    1.3000D+01       7.3497D+00       7.3731D+00       7.3548D+00       2.3072D-01       7.3614D+00       1.5915D-03
    1.4000D+01       7.1140D+00       7.1403D+00       7.1186D+00       2.5609D-01       7.1271D+00       1.8489D-03
    1.5000D+01       6.8734D+00       6.9027D+00       6.8773D+00       2.8057D-01       6.8881D+00       2.1282D-03
    1.6000D+01       6.6297D+00       6.6621D+00       6.6327D+00       3.0386D-01       6.6459D+00       2.4308D-03
    1.7000D+01       6.3847D+00       6.4200D+00       6.3864D+00       3.2568D-01       6.4024D+00       2.7584D-03
    1.8000D+01       6.1398D+00       6.1782D+00       6.1399D+00       3.4579D-01       6.1590D+00       3.1130D-03
    1.9000D+01       5.8965D+00       5.9379D+00       5.8948D+00       3.6404D-01       5.9172D+00       3.4971D-03
    2.0000D+01       5.6560D+00       5.7004D+00       5.6523D+00       3.8028D-01       5.6782D+00       3.9133D-03
    2.1000D+01       5.4195D+00       5.4670D+00       5.4136D+00       3.9443D-01       5.4432D+00       4.3648D-03
    2.2000D+01       5.1878D+00       5.2384D+00       5.1796D+00       4.0645D-01       5.2131D+00       4.8548D-03
    2.3000D+01       4.9618D+00       5.0156D+00       4.9512D+00       4.1635D-01       4.9887D+00       5.3871D-03
    2.4000D+01       4.7422D+00       4.7991D+00       4.7291D+00       4.2416D-01       4.7707D+00       5.9657D-03
    2.5000D+01       4.5295D+00       4.5896D+00       4.5138D+00       4.2994D-01       4.5595D+00       6.5947D-03
    2.6000D+01       4.3240D+00       4.3874D+00       4.3057D+00       4.3379D-01       4.3557D+00       7.2784D-03
    2.7000D+01       4.1260D+00       4.1928D+00       4.1053D+00       4.3582D-01       4.1594D+00       8.0214D-03
    2.8000D+01       3.9358D+00       4.0059D+00       3.9127D+00       4.3615D-01       3.9708D+00       8.8282D-03
