 numangles= 181
  g= 5.85366D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       8.8540D+00       8.8540D+00       8.8540D+00       0.0000D+00       8.8540D+00       0.0000D+00
    1.0000D+00       8.8424D+00       8.8423D+00       8.8424D+00       1.6075D-03       8.8424D+00      -7.2893D-06
    2.0000D+00       8.8079D+00       8.8073D+00       8.8076D+00       6.3965D-03       8.8076D+00      -2.9109D-05
    3.0000D+00       8.7507D+00       8.7496D+00       8.7501D+00       1.4267D-02       8.7501D+00      -6.5313D-05
    4.0000D+00       8.6716D+00       8.6696D+00       8.6705D+00       2.5057D-02       8.6706D+00      -1.1565D-04
    5.0000D+00       8.5715D+00       8.5684D+00       8.5697D+00       3.8544D-02       8.5699D+00      -1.7973D-04
    6.0000D+00       8.4514D+00       8.4471D+00       8.4488D+00       5.4456D-02       8.4492D+00      -2.5706D-04
    7.0000D+00       8.3127D+00       8.3070D+00       8.3091D+00       7.2479D-02       8.3099D+00      -3.4695D-04
    8.0000D+00       8.1570D+00       8.1496D+00       8.1521D+00       9.2260D-02       8.1533D+00      -4.4854D-04
    9.0000D+00       7.9857D+00       7.9767D+00       7.9793D+00       1.1343D-01       7.9812D+00      -5.6074D-04
    1.0000D+01       7.8006D+00       7.7899D+00       7.7925D+00       1.3559D-01       7.7952D+00      -6.8225D-04
    1.1000D+01       7.6035D+00       7.5911D+00       7.5934D+00       1.5836D-01       7.5973D+00      -8.1144D-04
    1.2000D+01       7.3962D+00       7.3822D+00       7.3838D+00       1.8134D-01       7.3892D+00      -9.4644D-04
    1.3000D+01       7.1805D+00       7.1650D+00       7.1657D+00       2.0417D-01       7.1728D+00      -1.0850D-03
    1.4000D+01       6.9583D+00       6.9413D+00       6.9408D+00       2.2650D-01       6.9498D+00      -1.2246D-03
    1.5000D+01       6.7313D+00       6.7130D+00       6.7108D+00       2.4801D-01       6.7222D+00      -1.3622D-03
    1.6000D+01       6.5011D+00       6.4817D+00       6.4775D+00       2.6842D-01       6.4914D+00      -1.4947D-03
    1.7000D+01       6.2693D+00       6.2491D+00       6.2424D+00       2.8748D-01       6.2592D+00      -1.6184D-03
    1.8000D+01       6.0374D+00       6.0165D+00       6.0070D+00       3.0500D-01       6.0269D+00      -1.7293D-03
    1.9000D+01       5.8066D+00       5.7854D+00       5.7727D+00       3.2082D-01       5.7960D+00      -1.8232D-03
    2.0000D+01       5.5781D+00       5.5570D+00       5.5408D+00       3.3482D-01       5.5676D+00      -1.8956D-03
    2.1000D+01       5.3530D+00       5.3323D+00       5.3122D+00       3.4694D-01       5.3427D+00      -1.9417D-03
    2.2000D+01       5.1322D+00       5.1122D+00       5.0879D+00       3.5714D-01       5.1222D+00      -1.9568D-03
    2.3000D+01       4.9165D+00       4.8975D+00       4.8688D+00       3.6543D-01       4.9070D+00      -1.9359D-03
    2.4000D+01       4.7064D+00       4.6888D+00       4.6555D+00       3.7184D-01       4.6976D+00      -1.8741D-03
    2.5000D+01       4.5025D+00       4.4867D+00       4.4486D+00       3.7644D-01       4.4946D+00      -1.7664D-03
    2.6000D+01       4.3052D+00       4.2914D+00       4.2484D+00       3.7931D-01       4.2983D+00      -1.6082D-03
    2.7000D+01       4.1147D+00       4.1033D+00       4.0553D+00       3.8057D-01       4.1090D+00      -1.3950D-03
    2.8000D+01       3.9313D+00       3.9225D+00       3.8695D+00       3.8032D-01       3.9269D+00      -1.1224D-03
    2.9000D+01       3.7550D+00       3.7491D+00       3.6910D+00       3.7870D-01       3.7520D+00      -7.8658D-04
    3.0000D+01       3.5858D+00       3.5831D+00       3.5200D+00       3.7584D-01       3.5844D+00      -3.8390D-04
    3.1000D+01       3.4237D+00       3.4244D+00       3.3563D+00       3.7188D-01       3.4240D+00       8.8894D-05
    3.2000D+01       3.2687D+00       3.2729D+00       3.1999D+00       3.6694D-01       3.2708D+00       6.3468D-04
    3.3000D+01       3.1205D+00       3.1284D+00       3.0507D+00       3.6117D-01       3.1245D+00       1.2560D-03
    3.4000D+01       2.9791D+00       2.9908D+00       2.9084D+00       3.5469D-01       2.9849D+00       1.9551D-03
    3.5000D+01       2.8441D+00       2.8597D+00       2.7728D+00       3.4761D-01       2.8519D+00       2.7338D-03
    3.6000D+01       2.7155D+00       2.7351D+00       2.6438D+00       3.4004D-01       2.7253D+00       3.5938D-03
    3.7000D+01       2.5929D+00       2.6166D+00       2.5210D+00       3.3208D-01       2.6048D+00       4.5367D-03
    3.8000D+01       2.4762D+00       2.5039D+00       2.4042D+00       3.2382D-01       2.4901D+00       5.5636D-03
    3.9000D+01       2.3650D+00       2.3968D+00       2.2932D+00       3.1534D-01       2.3809D+00       6.6757D-03
    4.0000D+01       2.2592D+00       2.2951D+00       2.1876D+00       3.0671D-01       2.2772D+00       7.8740D-03
    4.1000D+01       2.1585D+00       2.1984D+00       2.0872D+00       2.9799D-01       2.1785D+00       9.1594D-03
    4.2000D+01       2.0627D+00       2.1066D+00       1.9918D+00       2.8923D-01       2.0846D+00       1.0533D-02
    4.3000D+01       1.9715D+00       2.0194D+00       1.9011D+00       2.8048D-01       1.9954D+00       1.1995D-02
    4.4000D+01       1.8847D+00       1.9364D+00       1.8149D+00       2.7178D-01       1.9106D+00       1.3546D-02
    4.5000D+01       1.8021D+00       1.8577D+00       1.7329D+00       2.6316D-01       1.8299D+00       1.5187D-02
    4.6000D+01       1.7235D+00       1.7828D+00       1.6549D+00       2.5464D-01       1.7531D+00       1.6918D-02
    4.7000D+01       1.6486D+00       1.7116D+00       1.5807D+00       2.4624D-01       1.6801D+00       1.8738D-02
    4.8000D+01       1.5774D+00       1.6439D+00       1.5101D+00       2.3799D-01       1.6106D+00       2.0648D-02
    4.9000D+01       1.5096D+00       1.5795D+00       1.4429D+00       2.2990D-01       1.5445D+00       2.2646D-02
    5.0000D+01       1.4450D+00       1.5183D+00       1.3789D+00       2.2197D-01       1.4816D+00       2.4731D-02
    5.1000D+01       1.3835D+00       1.4600D+00       1.3180D+00       2.1421D-01       1.4217D+00       2.6901D-02
    5.2000D+01       1.3249D+00       1.4045D+00       1.2600D+00       2.0664D-01       1.3647D+00       2.9153D-02
    5.3000D+01       1.2692D+00       1.3517D+00       1.2047D+00       1.9925D-01       1.3104D+00       3.1485D-02
    5.4000D+01       1.2160D+00       1.3013D+00       1.1521D+00       1.9204D-01       1.2587D+00       3.3892D-02
    5.5000D+01       1.1654D+00       1.2534D+00       1.1018D+00       1.8502D-01       1.2094D+00       3.6371D-02
    5.6000D+01       1.1171D+00       1.2076D+00       1.0539D+00       1.7819D-01       1.1624D+00       3.8917D-02
    5.7000D+01       1.0712D+00       1.1640D+00       1.0082D+00       1.7154D-01       1.1176D+00       4.1523D-02
    5.8000D+01       1.0274D+00       1.1223D+00       9.6462D-01       1.6508D-01       1.0749D+00       4.4184D-02
    5.9000D+01       9.8560D-01       1.0826D+00       9.2298D-01       1.5879D-01       1.0341D+00       4.6893D-02
    6.0000D+01       9.4580D-01       1.0446D+00       8.8323D-01       1.5268D-01       9.9520D-01       4.9643D-02
    6.1000D+01       9.0785D-01       1.0083D+00       8.4525D-01       1.4674D-01       9.5808D-01       5.2426D-02
    6.2000D+01       8.7168D-01       9.7361D-01       8.0896D-01       1.4096D-01       9.2265D-01       5.5237D-02
    6.3000D+01       8.3720D-01       9.4042D-01       7.7427D-01       1.3535D-01       8.8881D-01       5.8066D-02
    6.4000D+01       8.0432D-01       9.0865D-01       7.4110D-01       1.2990D-01       8.5649D-01       6.0905D-02
    6.5000D+01       7.7298D-01       8.7825D-01       7.0939D-01       1.2460D-01       8.2561D-01       6.3748D-02
    6.6000D+01       7.4310D-01       8.4912D-01       6.7904D-01       1.1945D-01       7.9611D-01       6.6587D-02
    6.7000D+01       7.1462D-01       8.2123D-01       6.5001D-01       1.1444D-01       7.6792D-01       6.9413D-02
    6.8000D+01       6.8747D-01       7.9450D-01       6.2222D-01       1.0956D-01       7.4098D-01       7.2221D-02
    6.9000D+01       6.6159D-01       7.6887D-01       5.9563D-01       1.0482D-01       7.1523D-01       7.5002D-02
    7.0000D+01       6.3692D-01       7.4431D-01       5.7016D-01       1.0021D-01       6.9061D-01       7.7750D-02
    7.1000D+01       6.1341D-01       7.2075D-01       5.4577D-01       9.5715D-02       6.6708D-01       8.0459D-02
