 numangles= 181
  g= 5.80738D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       7.5221D+00       7.5221D+00       7.5221D+00       0.0000D+00       7.5221D+00       0.0000D+00
    1.0000D+00       7.5150D+00       7.5152D+00       7.5151D+00       9.7643D-04       7.5151D+00       1.0143D-05
    2.0000D+00       7.4940D+00       7.4946D+00       7.4943D+00       3.8924D-03       7.4943D+00       4.0599D-05
    3.0000D+00       7.4592D+00       7.4605D+00       7.4599D+00       8.7081D-03       7.4599D+00       9.1444D-05
    4.0000D+00       7.4108D+00       7.4132D+00       7.4119D+00       1.5358D-02       7.4120D+00       1.6281D-04
    5.0000D+00       7.3491D+00       7.3529D+00       7.3509D+00       2.3753D-02       7.3510D+00       2.5488D-04
    6.0000D+00       7.2748D+00       7.2801D+00       7.2773D+00       3.3781D-02       7.2775D+00       3.6790D-04
    7.0000D+00       7.1882D+00       7.1954D+00       7.1915D+00       4.5308D-02       7.1918D+00       5.0219D-04
    8.0000D+00       7.0900D+00       7.0994D+00       7.0942D+00       5.8185D-02       7.0947D+00       6.5812D-04
    9.0000D+00       6.9810D+00       6.9927D+00       6.9861D+00       7.2246D-02       6.9868D+00       8.3614D-04
    1.0000D+01       6.8618D+00       6.8761D+00       6.8678D+00       8.7313D-02       6.8689D+00       1.0368D-03
    1.1000D+01       6.7333D+00       6.7503D+00       6.7402D+00       1.0320D-01       6.7418D+00       1.2607D-03
    1.2000D+01       6.5963D+00       6.6163D+00       6.6040D+00       1.1972D-01       6.6063D+00       1.5086D-03
    1.3000D+01       6.4517D+00       6.4748D+00       6.4602D+00       1.3667D-01       6.4633D+00       1.7813D-03
    1.4000D+01       6.3005D+00       6.3267D+00       6.3097D+00       1.5386D-01       6.3136D+00       2.0798D-03
    1.5000D+01       6.1434D+00       6.1730D+00       6.1532D+00       1.7111D-01       6.1582D+00       2.4050D-03
    1.6000D+01       5.9814D+00       6.0145D+00       5.9917D+00       1.8822D-01       5.9980D+00       2.7583D-03
    1.7000D+01       5.8154D+00       5.8521D+00       5.8260D+00       2.0503D-01       5.8338D+00       3.1409D-03
    1.8000D+01       5.6464D+00       5.6866D+00       5.6571D+00       2.2138D-01       5.6665D+00       3.5542D-03
    1.9000D+01       5.4750D+00       5.5190D+00       5.4858D+00       2.3712D-01       5.4970D+00       4.0000D-03
    2.0000D+01       5.3022D+00       5.3499D+00       5.3129D+00       2.5211D-01       5.3260D+00       4.4798D-03
    2.1000D+01       5.1286D+00       5.1801D+00       5.1391D+00       2.6624D-01       5.1544D+00       4.9957D-03
    2.2000D+01       4.9551D+00       5.0104D+00       4.9652D+00       2.7941D-01       4.9828D+00       5.5496D-03
    2.3000D+01       4.7823D+00       4.8415D+00       4.7918D+00       2.9153D-01       4.8119D+00       6.1438D-03
    2.4000D+01       4.6109D+00       4.6738D+00       4.6196D+00       3.0255D-01       4.6424D+00       6.7804D-03
    2.5000D+01       4.4413D+00       4.5081D+00       4.4492D+00       3.1240D-01       4.4747D+00       7.4620D-03
    2.6000D+01       4.2741D+00       4.3447D+00       4.2811D+00       3.2106D-01       4.3094D+00       8.1911D-03
    2.7000D+01       4.1098D+00       4.1842D+00       4.1157D+00       3.2852D-01       4.1470D+00       8.9703D-03
    2.8000D+01       3.9488D+00       4.0270D+00       3.9536D+00       3.3477D-01       3.9879D+00       9.8025D-03
    2.9000D+01       3.7913D+00       3.8733D+00       3.7949D+00       3.3982D-01       3.8323D+00       1.0690D-02
    3.0000D+01       3.6378D+00       3.7234D+00       3.6401D+00       3.4369D-01       3.6806D+00       1.1637D-02
    3.1000D+01       3.4883D+00       3.5777D+00       3.4893D+00       3.4643D-01       3.5330D+00       1.2644D-02
    3.2000D+01       3.3432D+00       3.4362D+00       3.3429D+00       3.4807D-01       3.3897D+00       1.3716D-02
    3.3000D+01       3.2026D+00       3.2992D+00       3.2009D+00       3.4866D-01       3.2509D+00       1.4856D-02
    3.4000D+01       3.0666D+00       3.1667D+00       3.0635D+00       3.4827D-01       3.1166D+00       1.6065D-02
    3.5000D+01       2.9352D+00       3.0388D+00       2.9308D+00       3.4695D-01       2.9870D+00       1.7347D-02
    3.6000D+01       2.8084D+00       2.9155D+00       2.8027D+00       3.4477D-01       2.8620D+00       1.8705D-02
    3.7000D+01       2.6864D+00       2.7969D+00       2.6794D+00       3.4179D-01       2.7416D+00       2.0140D-02
    3.8000D+01       2.5691D+00       2.6828D+00       2.5608D+00       3.3809D-01       2.6259D+00       2.1656D-02
    3.9000D+01       2.4563D+00       2.5733D+00       2.4468D+00       3.3373D-01       2.5148D+00       2.3255D-02
    4.0000D+01       2.3482D+00       2.4683D+00       2.3374D+00       3.2879D-01       2.4082D+00       2.4939D-02
    4.1000D+01       2.2445D+00       2.3676D+00       2.2326D+00       3.2332D-01       2.3060D+00       2.6709D-02
    4.2000D+01       2.1451D+00       2.2713D+00       2.1322D+00       3.1740D-01       2.2082D+00       2.8567D-02
    4.3000D+01       2.0501D+00       2.1791D+00       2.0360D+00       3.1108D-01       2.1146D+00       3.0516D-02
    4.4000D+01       1.9591D+00       2.0910D+00       1.9441D+00       3.0442D-01       2.0251D+00       3.2555D-02
    4.5000D+01       1.8722D+00       2.0068D+00       1.8562D+00       2.9748D-01       1.9395D+00       3.4687D-02
    4.6000D+01       1.7892D+00       1.9264D+00       1.7723D+00       2.9031D-01       1.8578D+00       3.6911D-02
    4.7000D+01       1.7100D+00       1.8496D+00       1.6921D+00       2.8295D-01       1.7798D+00       3.9228D-02
    4.8000D+01       1.6343D+00       1.7763D+00       1.6156D+00       2.7545D-01       1.7053D+00       4.1638D-02
    4.9000D+01       1.5621D+00       1.7064D+00       1.5426D+00       2.6785D-01       1.6343D+00       4.4141D-02
    5.0000D+01       1.4933D+00       1.6397D+00       1.4729D+00       2.6018D-01       1.5665D+00       4.6737D-02
    5.1000D+01       1.4277D+00       1.5761D+00       1.4065D+00       2.5249D-01       1.5019D+00       4.9423D-02
    5.2000D+01       1.3651D+00       1.5155D+00       1.3431D+00       2.4479D-01       1.4403D+00       5.2200D-02
    5.3000D+01       1.3055D+00       1.4576D+00       1.2827D+00       2.3711D-01       1.3816D+00       5.5064D-02
    5.4000D+01       1.2487D+00       1.4025D+00       1.2251D+00       2.2948D-01       1.3256D+00       5.8016D-02
    5.5000D+01       1.1946D+00       1.3499D+00       1.1701D+00       2.2191D-01       1.2722D+00       6.1051D-02
    5.6000D+01       1.1430D+00       1.2997D+00       1.1178D+00       2.1442D-01       1.2214D+00       6.4167D-02
    5.7000D+01       1.0939D+00       1.2519D+00       1.0678D+00       2.0704D-01       1.1729D+00       6.7361D-02
    5.8000D+01       1.0471D+00       1.2062D+00       1.0202D+00       1.9976D-01       1.1267D+00       7.0629D-02
    5.9000D+01       1.0025D+00       1.1627D+00       9.7476D-01       1.9261D-01       1.0826D+00       7.3967D-02
    6.0000D+01       9.6013D-01       1.1212D+00       9.3143D-01       1.8559D-01       1.0406D+00       7.7371D-02
    6.1000D+01       9.1973D-01       1.0815D+00       8.9010D-01       1.7870D-01       1.0006D+00       8.0835D-02
    6.2000D+01       8.8128D-01       1.0437D+00       8.5067D-01       1.7195D-01       9.6246D-01       8.4354D-02
    6.3000D+01       8.4466D-01       1.0075D+00       8.1304D-01       1.6536D-01       9.2609D-01       8.7922D-02
    6.4000D+01       8.0981D-01       9.7300D-01       7.7713D-01       1.5891D-01       8.9140D-01       9.1533D-02
    6.5000D+01       7.7663D-01       9.4002D-01       7.4284D-01       1.5261D-01       8.5833D-01       9.5179D-02
    6.6000D+01       7.4506D-01       9.0852D-01       7.1011D-01       1.4647D-01       8.2679D-01       9.8854D-02
    6.7000D+01       7.1501D-01       8.7841D-01       6.7885D-01       1.4048D-01       7.9671D-01       1.0255D-01
