 numangles= 181
  g= 5.09034D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       7.9493D+00       7.9493D+00       7.9493D+00       0.0000D+00       7.9493D+00       0.0000D+00
    1.0000D+00       7.9384D+00       7.9422D+00       7.9403D+00       2.1825D-03       7.9403D+00       2.3837D-04
    2.0000D+00       7.9060D+00       7.9211D+00       7.9135D+00       8.6994D-03       7.9135D+00       9.5340D-04
    3.0000D+00       7.8522D+00       7.8860D+00       7.8691D+00       1.9460D-02       7.8691D+00       2.1448D-03
    4.0000D+00       7.7777D+00       7.8373D+00       7.8074D+00       3.4313D-02       7.8075D+00       3.8120D-03
    5.0000D+00       7.6832D+00       7.7752D+00       7.7288D+00       5.3055D-02       7.7292D+00       5.9543D-03
    6.0000D+00       7.5695D+00       7.7003D+00       7.6341D+00       7.5428D-02       7.6349D+00       8.5706D-03
    7.0000D+00       7.4376D+00       7.6131D+00       7.5240D+00       1.0113D-01       7.5254D+00       1.1660D-02
    8.0000D+00       7.2889D+00       7.5142D+00       7.3992D+00       1.2981D-01       7.4016D+00       1.5220D-02
    9.0000D+00       7.1246D+00       7.4043D+00       7.2607D+00       1.6110D-01       7.2644D+00       1.9248D-02
    1.0000D+01       6.9462D+00       7.2841D+00       7.1096D+00       1.9459D-01       7.1151D+00       2.3743D-02
    1.1000D+01       6.7552D+00       7.1544D+00       6.9469D+00       2.2984D-01       6.9548D+00       2.8700D-02
    1.2000D+01       6.5532D+00       7.0161D+00       6.7737D+00       2.6644D-01       6.7847D+00       3.4116D-02
    1.3000D+01       6.3418D+00       6.8701D+00       6.5913D+00       3.0393D-01       6.6060D+00       3.9986D-02
    1.4000D+01       6.1228D+00       6.7173D+00       6.4008D+00       3.4188D-01       6.4200D+00       4.6304D-02
    1.5000D+01       5.8976D+00       6.5585D+00       6.2035D+00       3.7985D-01       6.2281D+00       5.3064D-02
    1.6000D+01       5.6679D+00       6.3948D+00       6.0006D+00       4.1744D-01       6.0314D+00       6.0257D-02
    1.7000D+01       5.4353D+00       6.2269D+00       5.7932D+00       4.5425D-01       5.8311D+00       6.7874D-02
    1.8000D+01       5.2013D+00       6.0558D+00       5.5826D+00       4.8992D-01       5.6286D+00       7.5907D-02
    1.9000D+01       4.9673D+00       5.8824D+00       5.3699D+00       5.2412D-01       5.4249D+00       8.4342D-02
    2.0000D+01       4.7346D+00       5.7075D+00       5.1562D+00       5.5656D-01       5.2210D+00       9.3166D-02
    2.1000D+01       4.5044D+00       5.5318D+00       4.9425D+00       5.8697D-01       5.0181D+00       1.0237D-01
    2.2000D+01       4.2779D+00       5.3562D+00       4.7298D+00       6.1514D-01       4.8170D+00       1.1192D-01
    2.3000D+01       4.0560D+00       5.1813D+00       4.5190D+00       6.4089D-01       4.6186D+00       1.2182D-01
    2.4000D+01       3.8395D+00       5.0077D+00       4.3109D+00       6.6409D-01       4.4236D+00       1.3204D-01
    2.5000D+01       3.6294D+00       4.8362D+00       4.1062D+00       6.8463D-01       4.2328D+00       1.4256D-01
    2.6000D+01       3.4260D+00       4.6671D+00       3.9056D+00       7.0245D-01       4.0466D+00       1.5336D-01
    2.7000D+01       3.2300D+00       4.5011D+00       3.7096D+00       7.1754D-01       3.8656D+00       1.6440D-01
