 numangles= 181
  g= 5.86634D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       7.5337D+00       7.5337D+00       7.5337D+00       0.0000D+00       7.5337D+00       0.0000D+00
    1.0000D+00       7.5266D+00       7.5269D+00       7.5268D+00       1.0726D-03       7.5268D+00       2.1456D-05
    2.0000D+00       7.5053D+00       7.5066D+00       7.5059D+00       4.2761D-03       7.5059D+00       8.5818D-05
    3.0000D+00       7.4700D+00       7.4729D+00       7.4714D+00       9.5677D-03       7.4714D+00       1.9307D-04
    4.0000D+00       7.4209D+00       7.4260D+00       7.4234D+00       1.6877D-02       7.4234D+00       3.4317D-04
    5.0000D+00       7.3584D+00       7.3663D+00       7.3623D+00       2.6107D-02       7.3624D+00       5.3610D-04
    6.0000D+00       7.2830D+00       7.2943D+00       7.2885D+00       3.7137D-02       7.2886D+00       7.7181D-04
    7.0000D+00       7.1953D+00       7.2104D+00       7.2025D+00       4.9824D-02       7.2028D+00       1.0503D-03
    8.0000D+00       7.0958D+00       7.1153D+00       7.1051D+00       6.4005D-02       7.1056D+00       1.3714D-03
    9.0000D+00       6.9853D+00       7.0096D+00       6.9967D+00       7.9501D-02       6.9975D+00       1.7353D-03
    1.0000D+01       6.8646D+00       6.8941D+00       6.8782D+00       9.6121D-02       6.8793D+00       2.1418D-03
    1.1000D+01       6.7345D+00       6.7695D+00       6.7503D+00       1.1366D-01       6.7520D+00       2.5911D-03
    1.2000D+01       6.5958D+00       6.6366D+00       6.6139D+00       1.3192D-01       6.6162D+00       3.0833D-03
    1.3000D+01       6.4495D+00       6.4963D+00       6.4698D+00       1.5068D-01       6.4729D+00       3.6184D-03
    1.4000D+01       6.2965D+00       6.3495D+00       6.3189D+00       1.6973D-01       6.3230D+00       4.1967D-03
    1.5000D+01       6.1376D+00       6.1970D+00       6.1621D+00       1.8887D-01       6.1673D+00       4.8184D-03
    1.6000D+01       5.9739D+00       6.0398D+00       6.0003D+00       2.0790D-01       6.0068D+00       5.4840D-03
    1.7000D+01       5.8062D+00       5.8785D+00       5.8343D+00       2.2662D-01       5.8424D+00       6.1940D-03
    1.8000D+01       5.6354D+00       5.7143D+00       5.6651D+00       2.4487D-01       5.6748D+00       6.9488D-03
    1.9000D+01       5.4624D+00       5.5477D+00       5.4934D+00       2.6248D-01       5.5050D+00       7.7494D-03
