 numangles= 181
  g= 6.82117D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       1.1271D+01       1.1271D+01       1.1271D+01       0.0000D+00       1.1271D+01       0.0000D+00
    1.0000D+00       1.1254D+01       1.1254D+01       1.1254D+01       1.9657D-03       1.1254D+01       1.3994D-05
    2.0000D+00       1.1202D+01       1.1203D+01       1.1202D+01       7.8145D-03       1.1202D+01       5.6026D-05
    3.0000D+00       1.1116D+01       1.1119D+01       1.1117D+01       1.7403D-02       1.1117D+01       1.2625D-04
    4.0000D+00       1.0997D+01       1.1002D+01       1.1000D+01       3.0499D-02       1.1000D+01       2.2491D-04
    5.0000D+00       1.0848D+01       1.0855D+01       1.0851D+01       4.6791D-02       1.0852D+01       3.5237D-04
    6.0000D+00       1.0669D+01       1.0680D+01       1.0674D+01       6.5899D-02       1.0675D+01       5.0911D-04
    7.0000D+00       1.0464D+01       1.0478D+01       1.0470D+01       8.7392D-02       1.0471D+01       6.9570D-04
    8.0000D+00       1.0234D+01       1.0253D+01       1.0243D+01       1.1080D-01       1.0244D+01       9.1286D-04
    9.0000D+00       9.9836D+00       1.0007D+01       9.9936D+00       1.3564D-01       9.9953D+00       1.1614D-03
    1.0000D+01       9.7144D+00       9.7425D+00       9.7261D+00       1.6140D-01       9.7285D+00       1.4423D-03
    1.1000D+01       9.4297D+00       9.4629D+00       9.4430D+00       1.8762D-01       9.4463D+00       1.7567D-03
    1.2000D+01       9.1323D+00       9.1709D+00       9.1471D+00       2.1382D-01       9.1516D+00       2.1057D-03
    1.3000D+01       8.8252D+00       8.8693D+00       8.8414D+00       2.3959D-01       8.8473D+00       2.4907D-03
    1.4000D+01       8.5111D+00       8.5608D+00       8.5285D+00       2.6455D-01       8.5360D+00       2.9130D-03
    1.5000D+01       8.1925D+00       8.2479D+00       8.2109D+00       2.8835D-01       8.2202D+00       3.3743D-03
    1.6000D+01       7.8718D+00       7.9330D+00       7.8910D+00       3.1073D-01       7.9024D+00       3.8761D-03
    1.7000D+01       7.5511D+00       7.6181D+00       7.5710D+00       3.3146D-01       7.5846D+00       4.4201D-03
    1.8000D+01       7.2324D+00       7.3052D+00       7.2527D+00       3.5036D-01       7.2688D+00       5.0079D-03
    1.9000D+01       6.9175D+00       6.9960D+00       6.9380D+00       3.6733D-01       6.9567D+00       5.6413D-03
    2.0000D+01       6.6077D+00       6.6918D+00       6.6282D+00       3.8227D-01       6.6497D+00       6.3221D-03
    2.1000D+01       6.3043D+00       6.3939D+00       6.3247D+00       3.9517D-01       6.3491D+00       7.0519D-03
    2.2000D+01       6.0084D+00       6.1033D+00       6.0285D+00       4.0602D-01       6.0559D+00       7.8324D-03
    2.3000D+01       5.7209D+00       5.8209D+00       5.7405D+00       4.1486D-01       5.7709D+00       8.6652D-03
    2.4000D+01       5.4423D+00       5.5472D+00       5.4613D+00       4.2175D-01       5.4948D+00       9.5520D-03
    2.5000D+01       5.1732D+00       5.2829D+00       5.1914D+00       4.2677D-01       5.2280D+00       1.0494D-02
    2.6000D+01       4.9139D+00       5.0282D+00       4.9314D+00       4.3003D-01       4.9711D+00       1.1493D-02
    2.7000D+01       4.6648D+00       4.7833D+00       4.6812D+00       4.3163D-01       4.7240D+00       1.2550D-02
    2.8000D+01       4.4258D+00       4.5484D+00       4.4413D+00       4.3169D-01       4.4871D+00       1.3666D-02
    2.9000D+01       4.1970D+00       4.3235D+00       4.2114D+00       4.3034D-01       4.2603D+00       1.4843D-02
    3.0000D+01       3.9785D+00       4.1085D+00       3.9917D+00       4.2769D-01       4.0435D+00       1.6081D-02
    3.1000D+01       3.7699D+00       3.9033D+00       3.7820D+00       4.2387D-01       3.8366D+00       1.7381D-02
    3.2000D+01       3.5712D+00       3.7077D+00       3.5821D+00       4.1900D-01       3.6395D+00       1.8744D-02
    3.3000D+01       3.3822D+00       3.5214D+00       3.3918D+00       4.1321D-01       3.4518D+00       2.0170D-02
    3.4000D+01       3.2025D+00       3.3443D+00       3.2109D+00       4.0660D-01       3.2734D+00       2.1660D-02
    3.5000D+01       3.0319D+00       3.1760D+00       3.0390D+00       3.9928D-01       3.1040D+00       2.3214D-02
    3.6000D+01       2.8701D+00       3.0163D+00       2.8759D+00       3.9136D-01       2.9432D+00       2.4832D-02
    3.7000D+01       2.7167D+00       2.8647D+00       2.7212D+00       3.8292D-01       2.7907D+00       2.6514D-02
    3.8000D+01       2.5714D+00       2.7210D+00       2.5747D+00       3.7406D-01       2.6462D+00       2.8260D-02
    3.9000D+01       2.4339D+00       2.5848D+00       2.4358D+00       3.6486D-01       2.5093D+00       3.0068D-02
    4.0000D+01       2.3038D+00       2.4558D+00       2.3044D+00       3.5538D-01       2.3798D+00       3.1939D-02
    4.1000D+01       2.1807D+00       2.3336D+00       2.1801D+00       3.4570D-01       2.2572D+00       3.3871D-02
    4.2000D+01       2.0644D+00       2.2180D+00       2.0625D+00       3.3587D-01       2.1412D+00       3.5865D-02
    4.3000D+01       1.9545D+00       2.1086D+00       1.9514D+00       3.2595D-01       2.0316D+00       3.7917D-02
    4.4000D+01       1.8508D+00       2.0051D+00       1.8463D+00       3.1598D-01       1.9279D+00       4.0027D-02
    4.5000D+01       1.7527D+00       1.9072D+00       1.7470D+00       3.0601D-01       1.8300D+00       4.2194D-02
    4.6000D+01       1.6602D+00       1.8145D+00       1.6533D+00       2.9607D-01       1.7374D+00       4.4416D-02
    4.7000D+01       1.5729D+00       1.7269D+00       1.5647D+00       2.8621D-01       1.6499D+00       4.6691D-02
    4.8000D+01       1.4904D+00       1.6441D+00       1.4810D+00       2.7644D-01       1.5673D+00       4.9017D-02
    4.9000D+01       1.4126D+00       1.5657D+00       1.4020D+00       2.6679D-01       1.4892D+00       5.1391D-02
    5.0000D+01       1.3393D+00       1.4916D+00       1.3274D+00       2.5728D-01       1.4154D+00       5.3812D-02
    5.1000D+01       1.2700D+00       1.4215D+00       1.2569D+00       2.4793D-01       1.3458D+00       5.6277D-02
    5.2000D+01       1.2047D+00       1.3552D+00       1.1904D+00       2.3876D-01       1.2799D+00       5.8783D-02
    5.3000D+01       1.1431D+00       1.2924D+00       1.1276D+00       2.2977D-01       1.2178D+00       6.1327D-02
    5.4000D+01       1.0849D+00       1.2331D+00       1.0683D+00       2.2098D-01       1.1590D+00       6.3907D-02
    5.5000D+01       1.0301D+00       1.1769D+00       1.0122D+00       2.1240D-01       1.1035D+00       6.6518D-02
    5.6000D+01       9.7836D-01       1.1237D+00       9.5932D-01       2.0403D-01       1.0510D+00       6.9157D-02
    5.7000D+01       9.2955D-01       1.0734D+00       9.0934D-01       1.9588D-01       1.0015D+00       7.1821D-02
    5.8000D+01       8.8350D-01       1.0257D+00       8.6212D-01       1.8794D-01       9.5462D-01       7.4505D-02
    5.9000D+01       8.4005D-01       9.8061D-01       8.1751D-01       1.8023D-01       9.1033D-01       7.7206D-02
    6.0000D+01       7.9905D-01       9.3786D-01       7.7536D-01       1.7273D-01       8.6846D-01       7.9919D-02
    6.1000D+01       7.6036D-01       8.9736D-01       7.3552D-01       1.6545D-01       8.2886D-01       8.2640D-02
    6.2000D+01       7.2386D-01       8.5897D-01       6.9787D-01       1.5840D-01       7.9141D-01       8.5364D-02
    6.3000D+01       6.8940D-01       8.2259D-01       6.6227D-01       1.5156D-01       7.5599D-01       8.8086D-02
    6.4000D+01       6.5688D-01       7.8808D-01       6.2862D-01       1.4493D-01       7.2248D-01       9.0802D-02
    6.5000D+01       6.2618D-01       7.5536D-01       5.9679D-01       1.3851D-01       6.9077D-01       9.3507D-02
    6.6000D+01       5.9720D-01       7.2432D-01       5.6668D-01       1.3230D-01       6.6076D-01       9.6195D-02
    6.7000D+01       5.6984D-01       6.9486D-01       5.3819D-01       1.2629D-01       6.3235D-01       9.8860D-02
    6.8000D+01       5.4400D-01       6.6691D-01       5.1124D-01       1.2048D-01       6.0545D-01       1.0150D-01
    6.9000D+01       5.1960D-01       6.4036D-01       4.8573D-01       1.1486D-01       5.7998D-01       1.0410D-01
    7.0000D+01       4.9656D-01       6.1515D-01       4.6158D-01       1.0942D-01       5.5586D-01       1.0667D-01
    7.1000D+01       4.7481D-01       5.9120D-01       4.3872D-01       1.0418D-01       5.3300D-01       1.0919D-01
    7.2000D+01       4.5425D-01       5.6845D-01       4.1707D-01       9.9105D-02       5.1135D-01       1.1166D-01
    7.3000D+01       4.3484D-01       5.4682D-01       3.9655D-01       9.4208D-02       4.9083D-01       1.1407D-01
    7.4000D+01       4.1650D-01       5.2626D-01       3.7712D-01       8.9478D-02       4.7138D-01       1.1642D-01
    7.5000D+01       3.9918D-01       5.0670D-01       3.5870D-01       8.4910D-02       4.5294D-01       1.1870D-01
    7.6000D+01       3.8281D-01       4.8810D-01       3.4124D-01       8.0500D-02       4.3545D-01       1.2090D-01
    7.7000D+01       3.6734D-01       4.7040D-01       3.2468D-01       7.6242D-02       4.1887D-01       1.2301D-01
    7.8000D+01       3.5273D-01       4.5355D-01       3.0898D-01       7.2132D-02       4.0314D-01       1.2503D-01
