 numangles= 181
  g= 6.46295D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       8.7863D+00       8.7863D+00       8.7863D+00       0.0000D+00       8.7863D+00       0.0000D+00
    1.0000D+00       8.7767D+00       8.7772D+00       8.7769D+00       1.1133D-03       8.7769D+00       3.2289D-05
    2.0000D+00       8.7479D+00       8.7502D+00       8.7490D+00       4.4351D-03       8.7491D+00       1.2922D-04
    3.0000D+00       8.7003D+00       8.7054D+00       8.7028D+00       9.9117D-03       8.7028D+00       2.9097D-04
    4.0000D+00       8.6343D+00       8.6432D+00       8.6387D+00       1.7455D-02       8.6387D+00       5.1786D-04
    5.0000D+00       8.5504D+00       8.5643D+00       8.5573D+00       2.6945D-02       8.5573D+00       8.1030D-04
    6.0000D+00       8.4495D+00       8.4693D+00       8.4592D+00       3.8232D-02       8.4594D+00       1.1689D-03
    7.0000D+00       8.3324D+00       8.3590D+00       8.3454D+00       5.1142D-02       8.3457D+00       1.5942D-03
    8.0000D+00       8.2001D+00       8.2344D+00       8.2168D+00       6.5481D-02       8.2173D+00       2.0871D-03
    9.0000D+00       8.0538D+00       8.0966D+00       8.0745D+00       8.1037D-02       8.0752D+00       2.6484D-03
    1.0000D+01       7.8947D+00       7.9466D+00       7.9195D+00       9.7588D-02       7.9206D+00       3.2792D-03
    1.1000D+01       7.7239D+00       7.7857D+00       7.7533D+00       1.1490D-01       7.7548D+00       3.9806D-03
    1.2000D+01       7.5429D+00       7.6150D+00       7.5768D+00       1.3276D-01       7.5790D+00       4.7538D-03
    1.3000D+01       7.3530D+00       7.4358D+00       7.3915D+00       1.5092D-01       7.3944D+00       5.6000D-03
    1.4000D+01       7.1554D+00       7.2493D+00       7.1987D+00       1.6917D-01       7.2024D+00       6.5207D-03
    1.5000D+01       6.9515D+00       7.0568D+00       6.9995D+00       1.8729D-01       7.0042D+00       7.5173D-03
    1.6000D+01       6.7426D+00       6.8595D+00       6.7952D+00       2.0510D-01       6.8011D+00       8.5913D-03
    1.7000D+01       6.5300D+00       6.6585D+00       6.5871D+00       2.2242D-01       6.5943D+00       9.7444D-03
    1.8000D+01       6.3148D+00       6.4549D+00       6.3762D+00       2.3908D-01       6.3849D+00       1.0978D-02
    1.9000D+01       6.0981D+00       6.2499D+00       6.1637D+00       2.5495D-01       6.1740D+00       1.2294D-02
    2.0000D+01       5.8809D+00       6.0442D+00       5.9506D+00       2.6991D-01       5.9626D+00       1.3694D-02
    2.1000D+01       5.6644D+00       5.8390D+00       5.7378D+00       2.8385D-01       5.7517D+00       1.5179D-02
    2.2000D+01       5.4493D+00       5.6349D+00       5.5262D+00       2.9670D-01       5.5421D+00       1.6752D-02
    2.3000D+01       5.2364D+00       5.4328D+00       5.3165D+00       3.0840D-01       5.3346D+00       1.8414D-02
    2.4000D+01       5.0264D+00       5.2333D+00       5.1095D+00       3.1891D-01       5.1298D+00       2.0166D-02
    2.5000D+01       4.8200D+00       5.0370D+00       4.9058D+00       3.2821D-01       4.9285D+00       2.2010D-02
    2.6000D+01       4.6177D+00       4.8443D+00       4.7058D+00       3.3630D-01       4.7310D+00       2.3948D-02
    2.7000D+01       4.4201D+00       4.6559D+00       4.5102D+00       3.4316D-01       4.5380D+00       2.5981D-02
    2.8000D+01       4.2273D+00       4.4719D+00       4.3193D+00       3.4884D-01       4.3496D+00       2.8111D-02
    2.9000D+01       4.0399D+00       4.2927D+00       4.1333D+00       3.5335D-01       4.1663D+00       3.0338D-02
    3.0000D+01       3.8580D+00       4.1186D+00       3.9526D+00       3.5673D-01       3.9883D+00       3.2664D-02
    3.1000D+01       3.6819D+00       3.9497D+00       3.7774D+00       3.5904D-01       3.8158D+00       3.5090D-02
    3.2000D+01       3.5116D+00       3.7862D+00       3.6078D+00       3.6031D-01       3.6489D+00       3.7617D-02
    3.3000D+01       3.3474D+00       3.6281D+00       3.4439D+00       3.6062D-01       3.4877D+00       4.0246D-02
    3.4000D+01       3.1891D+00       3.4756D+00       3.2858D+00       3.6001D-01       3.3324D+00       4.2978D-02
    3.5000D+01       3.0369D+00       3.3285D+00       3.1335D+00       3.5855D-01       3.1827D+00       4.5812D-02
    3.6000D+01       2.8907D+00       3.1870D+00       2.9869D+00       3.5629D-01       3.0389D+00       4.8750D-02
    3.7000D+01       2.7505D+00       3.0510D+00       2.8462D+00       3.5332D-01       2.9007D+00       5.1793D-02
    3.8000D+01       2.6161D+00       2.9203D+00       2.7110D+00       3.4968D-01       2.7682D+00       5.4939D-02
    3.9000D+01       2.4875D+00       2.7949D+00       2.5815D+00       3.4543D-01       2.6412D+00       5.8189D-02
    4.0000D+01       2.3646D+00       2.6747D+00       2.4574D+00       3.4064D-01       2.5196D+00       6.1542D-02
    4.1000D+01       2.2471D+00       2.5596D+00       2.3387D+00       3.3537D-01       2.4033D+00       6.4999D-02
