 numangles= 181
  g= 5.08038D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       1.0165D+01       1.0165D+01       1.0165D+01       0.0000D+00       1.0165D+01       0.0000D+00
    1.0000D+00       1.0142D+01       1.0148D+01       1.0145D+01       3.9337D-03       1.0145D+01       3.0099D-04
    2.0000D+00       1.0075D+01       1.0099D+01       1.0087D+01       1.5629D-02       1.0087D+01       1.2031D-03
    3.0000D+00       9.9635D+00       1.0018D+01       9.9904D+00       3.4773D-02       9.9905D+00       2.7040D-03
    4.0000D+00       9.8106D+00       9.9052D+00       9.8575D+00       6.0858D-02       9.8579D+00       4.7994D-03
    5.0000D+00       9.6186D+00       9.7636D+00       9.6902D+00       9.3201D-02       9.6911D+00       7.4835D-03
    6.0000D+00       9.3907D+00       9.5948D+00       9.4909D+00       1.3097D-01       9.4928D+00       1.0749D-02
    7.0000D+00       9.1308D+00       9.4011D+00       9.2626D+00       1.7323D-01       9.2660D+00       1.4585D-02
    8.0000D+00       8.8430D+00       9.1852D+00       9.0086D+00       2.1895D-01       9.0141D+00       1.8980D-02
    9.0000D+00       8.5317D+00       8.9499D+00       8.7323D+00       2.6705D-01       8.7408D+00       2.3921D-02
    1.0000D+01       8.2014D+00       8.6981D+00       8.4373D+00       3.1647D-01       8.4497D+00       2.9390D-02
    1.1000D+01       7.8567D+00       8.4329D+00       8.1274D+00       3.6617D-01       8.1448D+00       3.5369D-02
    1.2000D+01       7.5021D+00       8.1572D+00       7.8061D+00       4.1514D-01       7.8296D+00       4.1837D-02
    1.3000D+01       7.1417D+00       7.8740D+00       7.4771D+00       4.6251D-01       7.5079D+00       4.8770D-02
    1.4000D+01       6.7796D+00       7.5862D+00       7.1437D+00       5.0747D-01       7.1829D+00       5.6142D-02
    1.5000D+01       6.4194D+00       7.2962D+00       6.8091D+00       5.4937D-01       6.8578D+00       6.3926D-02
    1.6000D+01       6.0643D+00       7.0066D+00       6.4762D+00       5.8767D-01       6.5355D+00       7.2091D-02
    1.7000D+01       5.7171D+00       6.7196D+00       6.1474D+00       6.2199D-01       6.2183D+00       8.0607D-02
    1.8000D+01       5.3800D+00       6.4369D+00       5.8251D+00       6.5206D-01       5.9084D+00       8.9443D-02
    1.9000D+01       5.0549D+00       6.1603D+00       5.5111D+00       6.7776D-01       5.6076D+00       9.8565D-02
    2.0000D+01       4.7432D+00       5.8912D+00       5.2070D+00       6.9906D-01       5.3172D+00       1.0794D-01
    2.1000D+01       4.4461D+00       5.6305D+00       4.9139D+00       7.1606D-01       5.0383D+00       1.1755D-01
    2.2000D+01       4.1640D+00       5.3793D+00       4.6328D+00       7.2892D-01       4.7717D+00       1.2735D-01
    2.3000D+01       3.8974D+00       5.1381D+00       4.3643D+00       7.3788D-01       4.5178D+00       1.3732D-01
