 numangles= 181
  g= 4.92490D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       1.0833D+01       1.0833D+01       1.0833D+01       0.0000D+00       1.0833D+01       0.0000D+00
    1.0000D+00       1.0805D+01       1.0811D+01       1.0808D+01       5.3949D-03       1.0808D+01       2.8900D-04
    2.0000D+00       1.0723D+01       1.0748D+01       1.0736D+01       2.1416D-02       1.0736D+01       1.1552D-03
    3.0000D+00       1.0588D+01       1.0644D+01       1.0616D+01       4.7578D-02       1.0616D+01       2.5962D-03
    4.0000D+00       1.0403D+01       1.0500D+01       1.0451D+01       8.3095D-02       1.0452D+01       4.6077D-03
    5.0000D+00       1.0172D+01       1.0319D+01       1.0244D+01       1.2691D-01       1.0245D+01       7.1838D-03
    6.0000D+00       9.8976D+00       1.0104D+01       9.9981D+00       1.7776D-01       1.0001D+01       1.0316D-02
    7.0000D+00       9.5860D+00       9.8581D+00       9.7172D+00       2.3417D-01       9.7221D+00       1.3994D-02
    8.0000D+00       9.2425D+00       9.5852D+00       9.4058D+00       2.9458D-01       9.4138D+00       1.8204D-02
    9.0000D+00       8.8727D+00       9.2892D+00       9.0687D+00       3.5736D-01       9.0810D+00       2.2930D-02
    1.0000D+01       8.4828D+00       8.9743D+00       8.7107D+00       4.2090D-01       8.7286D+00       2.8152D-02
    1.1000D+01       8.0787D+00       8.6447D+00       8.3368D+00       4.8362D-01       8.3617D+00       3.3847D-02
    1.2000D+01       7.6661D+00       8.3047D+00       7.9519D+00       5.4410D-01       7.9854D+00       3.9986D-02
    1.3000D+01       7.2506D+00       7.9584D+00       7.5609D+00       6.0104D-01       7.6045D+00       4.6538D-02
    1.4000D+01       6.8371D+00       7.6095D+00       7.1682D+00       6.5335D-01       7.2233D+00       5.3468D-02
    1.5000D+01       6.4302D+00       7.2618D+00       6.7780D+00       7.0017D-01       6.8460D+00       6.0737D-02
    1.6000D+01       6.0338D+00       6.9184D+00       6.3940D+00       7.4087D-01       6.4761D+00       6.8303D-02
    1.7000D+01       5.6511D+00       6.5823D+00       6.0195D+00       7.7505D-01       6.1167D+00       7.6122D-02
    1.8000D+01       5.2847D+00       6.2558D+00       5.6572D+00       8.0255D-01       5.7703D+00       8.4150D-02
    1.9000D+01       4.9366D+00       5.9411D+00       5.3093D+00       8.2342D-01       5.4388D+00       9.2342D-02
    2.0000D+01       4.6081D+00       5.6396D+00       4.9776D+00       8.3793D-01       5.1238D+00       1.0066D-01
    2.1000D+01       4.2998D+00       5.3525D+00       4.6633D+00       8.4647D-01       4.8261D+00       1.0906D-01
    2.2000D+01       4.0121D+00       5.0805D+00       4.3670D+00       8.4958D-01       4.5463D+00       1.1751D-01
    2.3000D+01       3.7446D+00       4.8242D+00       4.0890D+00       8.4790D-01       4.2844D+00       1.2599D-01
    2.4000D+01       3.4967D+00       4.5834D+00       3.8293D+00       8.4211D-01       4.0401D+00       1.3449D-01
    2.5000D+01       3.2676D+00       4.3581D+00       3.5874D+00       8.3291D-01       3.8129D+00       1.4300D-01
    2.6000D+01       3.0562D+00       4.1477D+00       3.3627D+00       8.2101D-01       3.6020D+00       1.5151D-01
    2.7000D+01       2.8613D+00       3.9517D+00       3.1543D+00       8.0705D-01       3.4065D+00       1.6004D-01
    2.8000D+01       2.6815D+00       3.7692D+00       2.9612D+00       7.9165D-01       3.2254D+00       1.6861D-01
    2.9000D+01       2.5157D+00       3.5994D+00       2.7822D+00       7.7533D-01       3.0575D+00       1.7723D-01
    3.0000D+01       2.3624D+00       3.4414D+00       2.6163D+00       7.5853D-01       2.9019D+00       1.8592D-01
    3.1000D+01       2.2205D+00       3.2943D+00       2.4623D+00       7.4160D-01       2.7574D+00       1.9470D-01
    3.2000D+01       2.0890D+00       3.1571D+00       2.3190D+00       7.2482D-01       2.6231D+00       2.0360D-01
    3.3000D+01       1.9668D+00       3.0290D+00       2.1855D+00       7.0838D-01       2.4979D+00       2.1261D-01
    3.4000D+01       1.8531D+00       2.9091D+00       2.0608D+00       6.9238D-01       2.3811D+00       2.2175D-01
    3.5000D+01       1.7470D+00       2.7967D+00       1.9439D+00       6.7688D-01       2.2719D+00       2.3102D-01
    3.6000D+01       1.6479D+00       2.6911D+00       1.8343D+00       6.6190D-01       2.1695D+00       2.4041D-01
    3.7000D+01       1.5553D+00       2.5917D+00       1.7311D+00       6.4738D-01       2.0735D+00       2.4991D-01
    3.8000D+01       1.4686D+00       2.4978D+00       1.6338D+00       6.3329D-01       1.9832D+00       2.5949D-01
    3.9000D+01       1.3874D+00       2.4092D+00       1.5420D+00       6.1956D-01       1.8983D+00       2.6913D-01
    4.0000D+01       1.3113D+00       2.3253D+00       1.4552D+00       6.0611D-01       1.8183D+00       2.7882D-01
    4.1000D+01       1.2400D+00       2.2458D+00       1.3730D+00       5.9289D-01       1.7429D+00       2.8853D-01
    4.2000D+01       1.1732D+00       2.1704D+00       1.2952D+00       5.7984D-01       1.6718D+00       2.9823D-01
    4.3000D+01       1.1106D+00       2.0988D+00       1.2215D+00       5.6693D-01       1.6047D+00       3.0792D-01
    4.4000D+01       1.0518D+00       2.0308D+00       1.1517D+00       5.5413D-01       1.5413D+00       3.1756D-01
    4.5000D+01       9.9680D-01       1.9662D+00       1.0855D+00       5.4144D-01       1.4815D+00       3.2716D-01
    4.6000D+01       9.4518D-01       1.9047D+00       1.0228D+00       5.2887D-01       1.4250D+00       3.3670D-01
    4.7000D+01       8.9675D-01       1.8463D+00       9.6342D-01       5.1643D-01       1.3715D+00       3.4617D-01
    4.8000D+01       8.5129D-01       1.7908D+00       9.0715D-01       5.0416D-01       1.3210D+00       3.5559D-01
    4.9000D+01       8.0860D-01       1.7379D+00       8.5381D-01       4.9209D-01       1.2733D+00       3.6493D-01
    5.0000D+01       7.6848D-01       1.6876D+00       8.0324D-01       4.8024D-01       1.2280D+00       3.7422D-01
    5.1000D+01       7.3075D-01       1.6397D+00       7.5526D-01       4.6866D-01       1.1852D+00       3.8344D-01
    5.2000D+01       6.9525D-01       1.5940D+00       7.0971D-01       4.5735D-01       1.1446D+00       3.9260D-01
    5.3000D+01       6.6183D-01       1.5505D+00       6.6641D-01       4.4635D-01       1.1061D+00       4.0168D-01
    5.4000D+01       6.3035D-01       1.5089D+00       6.2522D-01       4.3566D-01       1.0696D+00       4.1068D-01
    5.5000D+01       6.0070D-01       1.4692D+00       5.8599D-01       4.2528D-01       1.0350D+00       4.1959D-01
    5.6000D+01       5.7277D-01       1.4313D+00       5.4859D-01       4.1522D-01       1.0020D+00       4.2839D-01
    5.7000D+01       5.4646D-01       1.3950D+00       5.1288D-01       4.0546D-01       9.7072D-01       4.3706D-01
    5.8000D+01       5.2169D-01       1.3602D+00       4.7876D-01       3.9598D-01       9.4095D-01       4.4557D-01
    5.9000D+01       4.9838D-01       1.3269D+00       4.4612D-01       3.8677D-01       9.1264D-01       4.5391D-01
    6.0000D+01       4.7646D-01       1.2949D+00       4.1488D-01       3.7780D-01       8.8570D-01       4.6205D-01
    6.1000D+01       4.5586D-01       1.2643D+00       3.8495D-01       3.6906D-01       8.6006D-01       4.6997D-01
    6.2000D+01       4.3651D-01       1.2348D+00       3.5627D-01       3.6051D-01       8.3565D-01       4.7764D-01
    6.3000D+01       4.1835D-01       1.2065D+00       3.2878D-01       3.5215D-01       8.1242D-01       4.8505D-01
    6.4000D+01       4.0133D-01       1.1793D+00       3.0241D-01       3.4396D-01       7.9029D-01       4.9218D-01
    6.5000D+01       3.8537D-01       1.1531D+00       2.7713D-01       3.3592D-01       7.6921D-01       4.9901D-01
    6.6000D+01       3.7042D-01       1.1279D+00       2.5288D-01       3.2803D-01       7.4914D-01       5.0554D-01
    6.7000D+01       3.5642D-01       1.1036D+00       2.2964D-01       3.2028D-01       7.3001D-01       5.1177D-01
    6.8000D+01       3.4331D-01       1.0803D+00       2.0734D-01       3.1268D-01       7.1179D-01       5.1768D-01
    6.9000D+01       3.3105D-01       1.0578D+00       1.8596D-01       3.0521D-01       6.9441D-01       5.2327D-01
