 numangles= 181
  g= 5.92218D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       7.0941D+00       7.0941D+00       7.0941D+00       0.0000D+00       7.0941D+00       0.0000D+00
    1.0000D+00       7.0888D+00       7.0891D+00       7.0890D+00       7.4956D-04       7.0890D+00       2.2935D-05
    2.0000D+00       7.0730D+00       7.0743D+00       7.0737D+00       2.9917D-03       7.0737D+00       9.1671D-05
    3.0000D+00       7.0468D+00       7.0497D+00       7.0483D+00       6.7069D-03       7.0483D+00       2.0600D-04
    4.0000D+00       7.0103D+00       7.0155D+00       7.0129D+00       1.1863D-02       7.0129D+00       3.6558D-04
    5.0000D+00       6.9638D+00       6.9717D+00       6.9677D+00       1.8415D-02       6.9677D+00       5.6992D-04
    6.0000D+00       6.9073D+00       6.9186D+00       6.9129D+00       2.6307D-02       6.9129D+00       8.1841D-04
    7.0000D+00       6.8412D+00       6.8565D+00       6.8487D+00       3.5470D-02       6.8489D+00       1.1103D-03
    8.0000D+00       6.7660D+00       6.7855D+00       6.7755D+00       4.5827D-02       6.7757D+00       1.4446D-03
    9.0000D+00       6.6818D+00       6.7062D+00       6.6936D+00       5.7288D-02       6.6940D+00       1.8205D-03
    1.0000D+01       6.5892D+00       6.6187D+00       6.6034D+00       6.9757D-02       6.6040D+00       2.2366D-03
    1.1000D+01       6.4886D+00       6.5236D+00       6.5052D+00       8.3130D-02       6.5061D+00       2.6916D-03
    1.2000D+01       6.3804D+00       6.4212D+00       6.3996D+00       9.7294D-02       6.4008D+00       3.1843D-03
    1.3000D+01       6.2653D+00       6.3120D+00       6.2870D+00       1.1213D-01       6.2886D+00       3.7129D-03
    1.4000D+01       6.1437D+00       6.1964D+00       6.1679D+00       1.2753D-01       6.1700D+00       4.2758D-03
    1.5000D+01       6.0161D+00       6.0750D+00       6.0429D+00       1.4335D-01       6.0456D+00       4.8712D-03
    1.6000D+01       5.8833D+00       5.9483D+00       5.9123D+00       1.5947D-01       5.9158D+00       5.4971D-03
    1.7000D+01       5.7456D+00       5.8167D+00       5.7769D+00       1.7578D-01       5.7812D+00       6.1515D-03
    1.8000D+01       5.6038D+00       5.6809D+00       5.6371D+00       1.9213D-01       5.6424D+00       6.8323D-03
    1.9000D+01       5.4584D+00       5.5413D+00       5.4934D+00       2.0841D-01       5.4999D+00       7.5371D-03
    2.0000D+01       5.3100D+00       5.3985D+00       5.3466D+00       2.2450D-01       5.3543D+00       8.2637D-03
    2.1000D+01       5.1593D+00       5.2531D+00       5.1970D+00       2.4027D-01       5.2062D+00       9.0096D-03
    2.2000D+01       5.0066D+00       5.1055D+00       5.0453D+00       2.5562D-01       5.0561D+00       9.7724D-03
    2.3000D+01       4.8528D+00       4.9562D+00       4.8920D+00       2.7044D-01       4.9045D+00       1.0549D-02
    2.4000D+01       4.6981D+00       4.8059D+00       4.7376D+00       2.8463D-01       4.7520D+00       1.1338D-02
    2.5000D+01       4.5433D+00       4.6549D+00       4.5826D+00       2.9811D-01       4.5991D+00       1.2137D-02
    2.6000D+01       4.3887D+00       4.5038D+00       4.4276D+00       3.1078D-01       4.4463D+00       1.2941D-02
    2.7000D+01       4.2350D+00       4.3531D+00       4.2729D+00       3.2257D-01       4.2940D+00       1.3751D-02
    2.8000D+01       4.0824D+00       4.2030D+00       4.1191D+00       3.3342D-01       4.1427D+00       1.4562D-02
    2.9000D+01       3.9314D+00       4.0542D+00       3.9665D+00       3.4327D-01       3.9928D+00       1.5372D-02
    3.0000D+01       3.7825D+00       3.9069D+00       3.8156D+00       3.5207D-01       3.8447D+00       1.6181D-02
    3.1000D+01       3.6359D+00       3.7616D+00       3.6668D+00       3.5980D-01       3.6988D+00       1.6984D-02
    3.2000D+01       3.4921D+00       3.6185D+00       3.5203D+00       3.6642D-01       3.5553D+00       1.7782D-02
    3.3000D+01       3.3512D+00       3.4780D+00       3.3764D+00       3.7191D-01       3.4146D+00       1.8572D-02
    3.4000D+01       3.2135D+00       3.3404D+00       3.2356D+00       3.7628D-01       3.2769D+00       1.9354D-02
    3.5000D+01       3.0793D+00       3.2058D+00       3.0979D+00       3.7951D-01       3.1426D+00       2.0126D-02
    3.6000D+01       2.9488D+00       3.0746D+00       2.9637D+00       3.8163D-01       3.0117D+00       2.0889D-02
    3.7000D+01       2.8221D+00       2.9469D+00       2.8331D+00       3.8264D-01       2.8845D+00       2.1643D-02
    3.8000D+01       2.6993D+00       2.8229D+00       2.7063D+00       3.8259D-01       2.7611D+00       2.2388D-02
    3.9000D+01       2.5805D+00       2.7027D+00       2.5834D+00       3.8149D-01       2.6416D+00       2.3126D-02
    4.0000D+01       2.4659D+00       2.5864D+00       2.4645D+00       3.7940D-01       2.5262D+00       2.3859D-02
    4.1000D+01       2.3554D+00       2.4742D+00       2.3498D+00       3.7635D-01       2.4148D+00       2.4590D-02
