 numangles= 181
  g= 5.59707D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       5.3912D+00       5.3912D+00       5.3912D+00       0.0000D+00       5.3912D+00       0.0000D+00
    1.0000D+00       5.3883D+00       5.3889D+00       5.3886D+00       4.0914D-04       5.3886D+00       5.4772D-05
    2.0000D+00       5.3798D+00       5.3821D+00       5.3809D+00       1.6344D-03       5.3809D+00       2.1907D-04
    3.0000D+00       5.3655D+00       5.3707D+00       5.3681D+00       3.6692D-03       5.3681D+00       4.9282D-04
    4.0000D+00       5.3455D+00       5.3549D+00       5.3502D+00       6.5029D-03       5.3502D+00       8.7593D-04
    5.0000D+00       5.3200D+00       5.3346D+00       5.3273D+00       1.0120D-02       5.3273D+00       1.3682D-03
    6.0000D+00       5.2890D+00       5.3099D+00       5.2994D+00       1.4503D-02       5.2994D+00       1.9695D-03
    7.0000D+00       5.2526D+00       5.2808D+00       5.2666D+00       1.9627D-02       5.2667D+00       2.6796D-03
    8.0000D+00       5.2109D+00       5.2475D+00       5.2291D+00       2.5465D-02       5.2292D+00       3.4982D-03
    9.0000D+00       5.1642D+00       5.2101D+00       5.1870D+00       3.1988D-02       5.1871D+00       4.4249D-03
    1.0000D+01       5.1125D+00       5.1686D+00       5.1403D+00       3.9162D-02       5.1406D+00       5.4594D-03
    1.1000D+01       5.0560D+00       5.1232D+00       5.0892D+00       4.6948D-02       5.0896D+00       6.6012D-03
    1.2000D+01       4.9949D+00       5.0740D+00       5.0339D+00       5.5307D-02       5.0345D+00       7.8498D-03
    1.3000D+01       4.9295D+00       5.0211D+00       4.9745D+00       6.4196D-02       4.9753D+00       9.2047D-03
    1.4000D+01       4.8599D+00       4.9647D+00       4.9112D+00       7.3570D-02       4.9123D+00       1.0665D-02
    1.5000D+01       4.7864D+00       4.9049D+00       4.8442D+00       8.3381D-02       4.8456D+00       1.2231D-02
    1.6000D+01       4.7091D+00       4.8419D+00       4.7737D+00       9.3580D-02       4.7755D+00       1.3901D-02
    1.7000D+01       4.6284D+00       4.7758D+00       4.6998D+00       1.0412D-01       4.7021D+00       1.5674D-02
    1.8000D+01       4.5445D+00       4.7069D+00       4.6229D+00       1.1494D-01       4.6257D+00       1.7550D-02
    1.9000D+01       4.4576D+00       4.6352D+00       4.5430D+00       1.2599D-01       4.5464D+00       1.9527D-02
    2.0000D+01       4.3681D+00       4.5610D+00       4.4604D+00       1.3722D-01       4.4646D+00       2.1605D-02
    2.1000D+01       4.2762D+00       4.4845D+00       4.3753D+00       1.4857D-01       4.3803D+00       2.3783D-02
    2.2000D+01       4.1821D+00       4.4059D+00       4.2880D+00       1.6000D-01       4.2940D+00       2.6059D-02
    2.3000D+01       4.0861D+00       4.3252D+00       4.1987D+00       1.7144D-01       4.2057D+00       2.8431D-02
    2.4000D+01       3.9885D+00       4.2429D+00       4.1075D+00       1.8285D-01       4.1157D+00       3.0899D-02
    2.5000D+01       3.8896D+00       4.1589D+00       4.0148D+00       1.9417D-01       4.0242D+00       3.3462D-02
    2.6000D+01       3.7895D+00       4.0735D+00       3.9207D+00       2.0535D-01       3.9315D+00       3.6116D-02
    2.7000D+01       3.6887D+00       3.9870D+00       3.8255D+00       2.1635D-01       3.8378D+00       3.8862D-02
    2.8000D+01       3.5873D+00       3.8994D+00       3.7294D+00       2.2711D-01       3.7433D+00       4.1696D-02
    2.9000D+01       3.4855D+00       3.8110D+00       3.6325D+00       2.3759D-01       3.6483D+00       4.4617D-02
    3.0000D+01       3.3836D+00       3.7220D+00       3.5352D+00       2.4775D-01       3.5528D+00       4.7623D-02
    3.1000D+01       3.2819D+00       3.6326D+00       3.4375D+00       2.5755D-01       3.4572D+00       5.0712D-02
    3.2000D+01       3.1805D+00       3.5428D+00       3.3398D+00       2.6695D-01       3.3617D+00       5.3880D-02
    3.3000D+01       3.0797D+00       3.4529D+00       3.2422D+00       2.7591D-01       3.2663D+00       5.7127D-02
    3.4000D+01       2.9797D+00       3.3631D+00       3.1449D+00       2.8440D-01       3.1714D+00       6.0448D-02
    3.5000D+01       2.8806D+00       3.2735D+00       3.0480D+00       2.9239D-01       3.0771D+00       6.3842D-02
    3.6000D+01       2.7827D+00       3.1843D+00       2.9517D+00       2.9986D-01       2.9835D+00       6.7306D-02
    3.7000D+01       2.6861D+00       3.0956D+00       2.8563D+00       3.0678D-01       2.8908D+00       7.0835D-02
    3.8000D+01       2.5909D+00       3.0076D+00       2.7618D+00       3.1314D-01       2.7992D+00       7.4428D-02
    3.9000D+01       2.4973D+00       2.9203D+00       2.6684D+00       3.1890D-01       2.7088D+00       7.8080D-02
    4.0000D+01       2.4054D+00       2.8340D+00       2.5762D+00       3.2408D-01       2.6197D+00       8.1789D-02
    4.1000D+01       2.3154D+00       2.7487D+00       2.4854D+00       3.2864D-01       2.5321D+00       8.5550D-02
    4.2000D+01       2.2274D+00       2.6645D+00       2.3960D+00       3.3258D-01       2.4460D+00       8.9360D-02
    4.3000D+01       2.1414D+00       2.5816D+00       2.3082D+00       3.3591D-01       2.3615D+00       9.3215D-02
    4.4000D+01       2.0575D+00       2.5001D+00       2.2220D+00       3.3861D-01       2.2788D+00       9.7110D-02
    4.5000D+01       1.9758D+00       2.4200D+00       2.1376D+00       3.4069D-01       2.1979D+00       1.0104D-01
    4.6000D+01       1.8964D+00       2.3414D+00       2.0551D+00       3.4216D-01       2.1189D+00       1.0500D-01
    4.7000D+01       1.8193D+00       2.2644D+00       1.9744D+00       3.4301D-01       2.0418D+00       1.0900D-01
    4.8000D+01       1.7445D+00       2.1890D+00       1.8957D+00       3.4327D-01       1.9667D+00       1.1301D-01
    4.9000D+01       1.6721D+00       2.1154D+00       1.8190D+00       3.4294D-01       1.8937D+00       1.1704D-01
    5.0000D+01       1.6020D+00       2.0435D+00       1.7444D+00       3.4203D-01       1.8228D+00       1.2109D-01
    5.1000D+01       1.5344D+00       1.9734D+00       1.6718D+00       3.4057D-01       1.7539D+00       1.2514D-01
    5.2000D+01       1.4692D+00       1.9051D+00       1.6014D+00       3.3857D-01       1.6871D+00       1.2919D-01
    5.3000D+01       1.4063D+00       1.8387D+00       1.5331D+00       3.3605D-01       1.6225D+00       1.3325D-01
    5.4000D+01       1.3458D+00       1.7742D+00       1.4669D+00       3.3303D-01       1.5600D+00       1.3730D-01
    5.5000D+01       1.2877D+00       1.7116D+00       1.4028D+00       3.2953D-01       1.4997D+00       1.4133D-01
    5.6000D+01       1.2319D+00       1.6509D+00       1.3409D+00       3.2558D-01       1.4414D+00       1.4535D-01
    5.7000D+01       1.1784D+00       1.5921D+00       1.2811D+00       3.2121D-01       1.3852D+00       1.4935D-01
