 numangles= 181
  g= 5.55944D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       5.3564D+00       5.3564D+00       5.3564D+00       0.0000D+00       5.3564D+00       0.0000D+00
    1.0000D+00       5.3535D+00       5.3541D+00       5.3538D+00       3.6212D-04       5.3538D+00       5.1482D-05
    2.0000D+00       5.3451D+00       5.3473D+00       5.3462D+00       1.4466D-03       5.3462D+00       2.0590D-04
    3.0000D+00       5.3311D+00       5.3361D+00       5.3336D+00       3.2477D-03       5.3336D+00       4.6320D-04
    4.0000D+00       5.3116D+00       5.3204D+00       5.3160D+00       5.7561D-03       5.3160D+00       8.2325D-04
    5.0000D+00       5.2866D+00       5.3003D+00       5.2934D+00       8.9586D-03       5.2935D+00       1.2859D-03
    6.0000D+00       5.2563D+00       5.2758D+00       5.2660D+00       1.2839D-02       5.2660D+00       1.8509D-03
    7.0000D+00       5.2207D+00       5.2470D+00       5.2338D+00       1.7376D-02       5.2339D+00       2.5181D-03
    8.0000D+00       5.1799D+00       5.2141D+00       5.1969D+00       2.2547D-02       5.1970D+00       3.2871D-03
    9.0000D+00       5.1341D+00       5.1770D+00       5.1554D+00       2.8324D-02       5.1556D+00       4.1576D-03
    1.0000D+01       5.0835D+00       5.1359D+00       5.1094D+00       3.4679D-02       5.1097D+00       5.1291D-03
    1.1000D+01       5.0282D+00       5.0909D+00       5.0592D+00       4.1579D-02       5.0595D+00       6.2013D-03
    1.2000D+01       4.9683D+00       5.0421D+00       5.0047D+00       4.8987D-02       5.0052D+00       7.3735D-03
    1.3000D+01       4.9042D+00       4.9897D+00       4.9463D+00       5.6868D-02       4.9470D+00       8.6452D-03
    1.4000D+01       4.8360D+00       4.9338D+00       4.8840D+00       6.5180D-02       4.8849D+00       1.0016D-02
    1.5000D+01       4.7639D+00       4.8746D+00       4.8180D+00       7.3882D-02       4.8192D+00       1.1485D-02
    1.6000D+01       4.6881D+00       4.8121D+00       4.7486D+00       8.2931D-02       4.7501D+00       1.3051D-02
    1.7000D+01       4.6089D+00       4.7466D+00       4.6758D+00       9.2282D-02       4.6778D+00       1.4714D-02
    1.8000D+01       4.5266D+00       4.6782D+00       4.6000D+00       1.0189D-01       4.6024D+00       1.6472D-02
    1.9000D+01       4.4414D+00       4.6072D+00       4.5213D+00       1.1170D-01       4.5243D+00       1.8325D-02
    2.0000D+01       4.3534D+00       4.5336D+00       4.4399D+00       1.2168D-01       4.4435D+00       2.0272D-02
    2.1000D+01       4.2631D+00       4.4577D+00       4.3561D+00       1.3178D-01       4.3604D+00       2.2311D-02
    2.2000D+01       4.1706D+00       4.3796D+00       4.2700D+00       1.4194D-01       4.2751D+00       2.4442D-02
    2.3000D+01       4.0763D+00       4.2996D+00       4.1820D+00       1.5212D-01       4.1879D+00       2.6662D-02
    2.4000D+01       3.9803D+00       4.2178D+00       4.0921D+00       1.6227D-01       4.0991D+00       2.8971D-02
    2.5000D+01       3.8829D+00       4.1344D+00       4.0006D+00       1.7235D-01       4.0087D+00       3.1367D-02
    2.6000D+01       3.7845D+00       4.0497D+00       3.9078D+00       1.8231D-01       3.9171D+00       3.3849D-02
    2.7000D+01       3.6851D+00       3.9637D+00       3.8138D+00       1.9211D-01       3.8244D+00       3.6414D-02
