 numangles= 181
  g= 4.50387D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       7.0880D+00       7.0880D+00       7.0880D+00       0.0000D+00       7.0880D+00       0.0000D+00
    1.0000D+00       7.0778D+00       7.0809D+00       7.0793D+00       2.3201D-03       7.0793D+00       2.1956D-04
    2.0000D+00       7.0473D+00       7.0597D+00       7.0535D+00       9.2414D-03       7.0535D+00       8.7792D-04
    3.0000D+00       6.9970D+00       7.0247D+00       7.0108D+00       2.0649D-02       7.0109D+00       1.9740D-03
    4.0000D+00       6.9274D+00       6.9761D+00       6.9516D+00       3.6353D-02       6.9518D+00       3.5062D-03
    5.0000D+00       6.8392D+00       6.9144D+00       6.8764D+00       5.6096D-02       6.8768D+00       5.4719D-03
    6.0000D+00       6.7334D+00       6.8402D+00       6.7859D+00       7.9557D-02       6.7868D+00       7.8680D-03
    7.0000D+00       6.6112D+00       6.7541D+00       6.6811D+00       1.0636D-01       6.6826D+00       1.0690D-02
    8.0000D+00       6.4739D+00       6.6568D+00       6.5627D+00       1.3608D-01       6.5654D+00       1.3934D-02
    9.0000D+00       6.3228D+00       6.5493D+00       6.4320D+00       1.6827D-01       6.4361D+00       1.7594D-02
    1.0000D+01       6.1596D+00       6.4324D+00       6.2899D+00       2.0245D-01       6.2960D+00       2.1663D-02
    1.1000D+01       5.9858D+00       6.3070D+00       6.1377D+00       2.3810D-01       6.1464D+00       2.6133D-02
    1.2000D+01       5.8030D+00       6.1742D+00       5.9766D+00       2.7474D-01       5.9886D+00       3.0995D-02
    1.3000D+01       5.6128D+00       6.0349D+00       5.8080D+00       3.1187D-01       5.8239D+00       3.6241D-02
    1.4000D+01       5.4170D+00       5.8903D+00       5.6329D+00       3.4901D-01       5.6536D+00       4.1858D-02
    1.5000D+01       5.2170D+00       5.7412D+00       5.4528D+00       3.8570D-01       5.4791D+00       4.7834D-02
    1.6000D+01       5.0144D+00       5.5886D+00       5.2689D+00       4.2154D-01       5.3015D+00       5.4158D-02
    1.7000D+01       4.8107D+00       5.4336D+00       5.0822D+00       4.5612D-01       5.1221D+00       6.0813D-02
    1.8000D+01       4.6071D+00       5.2771D+00       4.8940D+00       4.8911D-01       4.9421D+00       6.7785D-02
    1.9000D+01       4.4049D+00       5.1198D+00       4.7054D+00       5.2023D-01       4.7624D+00       7.5058D-02
    2.0000D+01       4.2053D+00       4.9627D+00       4.5173D+00       5.4922D-01       4.5840D+00       8.2615D-02
    2.1000D+01       4.0092D+00       4.8064D+00       4.3306D+00       5.7589D-01       4.4078D+00       9.0438D-02
    2.2000D+01       3.8174D+00       4.6517D+00       4.1463D+00       6.0010D-01       4.2345D+00       9.8509D-02
    2.3000D+01       3.6307D+00       4.4990D+00       3.9649D+00       6.2176D-01       4.0649D+00       1.0681D-01
    2.4000D+01       3.4497D+00       4.3490D+00       3.7871D+00       6.4082D-01       3.8994D+00       1.1532D-01
    2.5000D+01       3.2749D+00       4.2022D+00       3.6135D+00       6.5726D-01       3.7385D+00       1.2402D-01
    2.6000D+01       3.1066D+00       4.0588D+00       3.4446D+00       6.7111D-01       3.5827D+00       1.3290D-01
