 numangles= 181
  g= 5.40652D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       1.5773D+01       1.5773D+01       1.5773D+01       0.0000D+00       1.5773D+01       0.0000D+00
    1.0000D+00       1.5709D+01       1.5722D+01       1.5716D+01       9.2012D-03       1.5716D+01       4.1434D-04
    2.0000D+00       1.5520D+01       1.5571D+01       1.5546D+01       3.6351D-02       1.5546D+01       1.6555D-03
    3.0000D+00       1.5211D+01       1.5325D+01       1.5268D+01       8.0118D-02       1.5268D+01       3.7178D-03
    4.0000D+00       1.4793D+01       1.4989D+01       1.4890D+01       1.3838D-01       1.4891D+01       6.5912D-03
    5.0000D+00       1.4276D+01       1.4572D+01       1.4421D+01       2.0838D-01       1.4424D+01       1.0261D-02
    6.0000D+00       1.3677D+01       1.4085D+01       1.3875D+01       2.8688D-01       1.3881D+01       1.4706D-02
    7.0000D+00       1.3011D+01       1.3539D+01       1.3265D+01       3.7038D-01       1.3275D+01       1.9899D-02
    8.0000D+00       1.2296D+01       1.2948D+01       1.2606D+01       4.5535D-01       1.2622D+01       2.5804D-02
    9.0000D+00       1.1550D+01       1.2323D+01       1.1912D+01       5.3840D-01       1.1937D+01       3.2377D-02
    1.0000D+01       1.0789D+01       1.1678D+01       1.1199D+01       6.1651D-01       1.1234D+01       3.9563D-02
    1.1000D+01       1.0029D+01       1.1025D+01       1.0480D+01       6.8715D-01       1.0527D+01       4.7296D-02
    1.2000D+01       9.2838D+00       1.0375D+01       9.7682D+00       7.4836D-01       9.8293D+00       5.5504D-02
    1.3000D+01       8.5642D+00       9.7374D+00       9.0740D+00       7.9889D-01       9.1508D+00       6.4103D-02
    1.4000D+01       7.8797D+00       9.1208D+00       8.4066D+00       8.3810D-01       8.5002D+00       7.3006D-02
    1.5000D+01       7.2367D+00       8.5316D+00       7.7728D+00       8.6602D-01       7.8842D+00       8.2124D-02
    1.6000D+01       6.6394D+00       7.9747D+00       7.1778D+00       8.8319D-01       7.3071D+00       9.1373D-02
    1.7000D+01       6.0898D+00       7.4533D+00       6.6244D+00       8.9060D-01       6.7715D+00       1.0068D-01
    1.8000D+01       5.5880D+00       6.9690D+00       6.1141D+00       8.8957D-01       6.2785D+00       1.0998D-01
    1.9000D+01       5.1325D+00       6.5223D+00       5.6466D+00       8.8158D-01       5.8274D+00       1.1924D-01
    2.0000D+01       4.7208D+00       6.1123D+00       5.2204D+00       8.6818D-01       5.4166D+00       1.2845D-01
    2.1000D+01       4.3495D+00       5.7375D+00       4.8331D+00       8.5086D-01       5.0435D+00       1.3761D-01
    2.2000D+01       4.0147D+00       5.3957D+00       4.4819D+00       8.3098D-01       4.7052D+00       1.4675D-01
    2.3000D+01       3.7125D+00       5.0840D+00       4.1633D+00       8.0968D-01       4.3983D+00       1.5592D-01
