 numangles= 181
  g= 6.00007D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       7.1528D+00       7.1528D+00       7.1528D+00       0.0000D+00       7.1528D+00       0.0000D+00
    1.0000D+00       7.1474D+00       7.1478D+00       7.1476D+00       8.2907D-04       7.1476D+00       3.0338D-05
    2.0000D+00       7.1312D+00       7.1329D+00       7.1321D+00       3.3090D-03       7.1321D+00       1.2128D-04
    3.0000D+00       7.1044D+00       7.1082D+00       7.1063D+00       7.4183D-03       7.1063D+00       2.7262D-04
    4.0000D+00       7.0670D+00       7.0738D+00       7.0704D+00       1.3121D-02       7.0704D+00       4.8402D-04
    5.0000D+00       7.0192D+00       7.0298D+00       7.0245D+00       2.0368D-02       7.0245D+00       7.5498D-04
    6.0000D+00       6.9614D+00       6.9765D+00       6.9689D+00       2.9097D-02       6.9689D+00       1.0849D-03
    7.0000D+00       6.8937D+00       6.9141D+00       6.9037D+00       3.9232D-02       6.9039D+00       1.4730D-03
    8.0000D+00       6.8166D+00       6.8428D+00       6.8295D+00       5.0686D-02       6.8297D+00       1.9183D-03
    9.0000D+00       6.7305D+00       6.7631D+00       6.7464D+00       6.3362D-02       6.7468D+00       2.4199D-03
    1.0000D+01       6.6357D+00       6.6753D+00       6.6548D+00       7.7153D-02       6.6555D+00       2.9766D-03
    1.1000D+01       6.5327D+00       6.5797D+00       6.5553D+00       9.1943D-02       6.5562D+00       3.5870D-03
    1.2000D+01       6.4221D+00       6.4769D+00       6.4481D+00       1.0761D-01       6.4495D+00       4.2496D-03
    1.3000D+01       6.3043D+00       6.3672D+00       6.3339D+00       1.2402D-01       6.3358D+00       4.9630D-03
    1.4000D+01       6.1800D+00       6.2511D+00       6.2132D+00       1.4104D-01       6.2156D+00       5.7253D-03
    1.5000D+01       6.0496D+00       6.1292D+00       6.0863D+00       1.5854D-01       6.0894D+00       6.5347D-03
    1.6000D+01       5.9139D+00       6.0019D+00       5.9540D+00       1.7638D-01       5.9579D+00       7.3893D-03
    1.7000D+01       5.7733D+00       5.8698D+00       5.8167D+00       1.9441D-01       5.8216D+00       8.2869D-03
    1.8000D+01       5.6286D+00       5.7334D+00       5.6749D+00       2.1251D-01       5.6810D+00       9.2252D-03
    1.9000D+01       5.4803D+00       5.5932D+00       5.5294D+00       2.3052D-01       5.5368D+00       1.0202D-02
    2.0000D+01       5.3290D+00       5.4499D+00       5.3806D+00       2.4832D-01       5.3894D+00       1.1215D-02
    2.1000D+01       5.1753D+00       5.3038D+00       5.2291D+00       2.6578D-01       5.2395D+00       1.2261D-02
    2.2000D+01       5.0198D+00       5.1556D+00       5.0754D+00       2.8277D-01       5.0877D+00       1.3338D-02
    2.3000D+01       4.8632D+00       5.0057D+00       4.9201D+00       2.9919D-01       4.9344D+00       1.4444D-02
    2.4000D+01       4.7058D+00       4.8547D+00       4.7638D+00       3.1491D-01       4.7803D+00       1.5575D-02
    2.5000D+01       4.5484D+00       4.7032D+00       4.6069D+00       3.2985D-01       4.6258D+00       1.6729D-02
    2.6000D+01       4.3913D+00       4.5514D+00       4.4500D+00       3.4390D-01       4.4714D+00       1.7903D-02
    2.7000D+01       4.2352D+00       4.4000D+00       4.2935D+00       3.5700D-01       4.3176D+00       1.9094D-02
    2.8000D+01       4.0803D+00       4.2494D+00       4.1379D+00       3.6906D-01       4.1649D+00       2.0300D-02
    2.9000D+01       3.9272D+00       4.1000D+00       3.9836D+00       3.8002D-01       4.0136D+00       2.1519D-02
    3.0000D+01       3.7763D+00       3.9521D+00       3.8310D+00       3.8985D-01       3.8642D+00       2.2747D-02
    3.1000D+01       3.6279D+00       3.8062D+00       3.6805D+00       3.9849D-01       3.7170D+00       2.3983D-02
    3.2000D+01       3.4823D+00       3.6625D+00       3.5324D+00       4.0592D-01       3.5724D+00       2.5225D-02
    3.3000D+01       3.3398D+00       3.5215D+00       3.3870D+00       4.1212D-01       3.4306D+00       2.6470D-02
    3.4000D+01       3.2007D+00       3.3832D+00       3.2447D+00       4.1709D-01       3.2920D+00       2.7718D-02
    3.5000D+01       3.0653D+00       3.2482D+00       3.1057D+00       4.2082D-01       3.1567D+00       2.8968D-02
    3.6000D+01       2.9336D+00       3.1164D+00       2.9701D+00       4.2333D-01       3.0250D+00       3.0218D-02
    3.7000D+01       2.8058D+00       2.9882D+00       2.8383D+00       4.2465D-01       2.8970D+00       3.1469D-02
    3.8000D+01       2.6822D+00       2.8636D+00       2.7103D+00       4.2479D-01       2.7729D+00       3.2721D-02
    3.9000D+01       2.5627D+00       2.7429D+00       2.5863D+00       4.2380D-01       2.6528D+00       3.3974D-02
    4.0000D+01       2.4474D+00       2.6262D+00       2.4664D+00       4.2172D-01       2.5368D+00       3.5232D-02
