 numangles= 181
  g= 6.29672D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       9.1739D+00       9.1739D+00       9.1739D+00       0.0000D+00       9.1739D+00       0.0000D+00
    1.0000D+00       9.1651D+00       9.1651D+00       9.1651D+00       1.2844D-03       9.1651D+00      -2.1295D-06
    2.0000D+00       9.1386D+00       9.1385D+00       9.1385D+00       5.1227D-03       9.1385D+00      -8.6967D-06
    3.0000D+00       9.0947D+00       9.0943D+00       9.0945D+00       1.1471D-02       9.0945D+00      -2.0237D-05
    4.0000D+00       9.0336D+00       9.0329D+00       9.0332D+00       2.0256D-02       9.0333D+00      -3.7644D-05
    5.0000D+00       8.9557D+00       8.9546D+00       8.9551D+00       3.1377D-02       8.9552D+00      -6.2170D-05
    6.0000D+00       8.8616D+00       8.8599D+00       8.8606D+00       4.4708D-02       8.8607D+00      -9.5428D-05
    7.0000D+00       8.7518D+00       8.7494D+00       8.7503D+00       6.0097D-02       8.7506D+00      -1.3939D-04
    8.0000D+00       8.6270D+00       8.6237D+00       8.6248D+00       7.7369D-02       8.6254D+00      -1.9640D-04
    9.0000D+00       8.4881D+00       8.4836D+00       8.4850D+00       9.6331D-02       8.4858D+00      -2.6915D-04
    1.0000D+01       8.3359D+00       8.3299D+00       8.3317D+00       1.1677D-01       8.3329D+00      -3.6071D-04
    1.1000D+01       8.1713D+00       8.1635D+00       8.1657D+00       1.3846D-01       8.1674D+00      -4.7450D-04
    1.2000D+01       7.9953D+00       7.9855D+00       7.9880D+00       1.6117D-01       7.9904D+00      -6.1433D-04
    1.3000D+01       7.8090D+00       7.7967D+00       7.7996D+00       1.8464D-01       7.8028D+00      -7.8433D-04
    1.4000D+01       7.6134D+00       7.5983D+00       7.6016D+00       2.0864D-01       7.6059D+00      -9.8902D-04
    1.5000D+01       7.4096D+00       7.3914D+00       7.3951D+00       2.3289D-01       7.4005D+00      -1.2332D-03
    1.6000D+01       7.1989D+00       7.1770D+00       7.1811D+00       2.5716D-01       7.1879D+00      -1.5222D-03
    1.7000D+01       6.9822D+00       6.9563D+00       6.9607D+00       2.8119D-01       6.9693D+00      -1.8613D-03
    1.8000D+01       6.7608D+00       6.7304D+00       6.7351D+00       3.0474D-01       6.7456D+00      -2.2564D-03
    1.9000D+01       6.5358D+00       6.5004D+00       6.5055D+00       3.2759D-01       6.5181D+00      -2.7135D-03
    2.0000D+01       6.3081D+00       6.2674D+00       6.2728D+00       3.4951D-01       6.2878D+00      -3.2390D-03
    2.1000D+01       6.0790D+00       6.0325D+00       6.0381D+00       3.7030D-01       6.0558D+00      -3.8391D-03
    2.2000D+01       5.8495D+00       5.7968D+00       5.8026D+00       3.8978D-01       5.8231D+00      -4.5206D-03
    2.3000D+01       5.6204D+00       5.5612D+00       5.5671D+00       4.0778D-01       5.5908D+00      -5.2899D-03
    2.4000D+01       5.3927D+00       5.3268D+00       5.3327D+00       4.2416D-01       5.3597D+00      -6.1537D-03
    2.5000D+01       5.1674D+00       5.0943D+00       5.1002D+00       4.3879D-01       5.1308D+00      -7.1185D-03
    2.6000D+01       4.9451D+00       4.8647D+00       4.8705D+00       4.5157D-01       4.9049D+00      -8.1904D-03
    2.7000D+01       4.7266D+00       4.6388D+00       4.6443D+00       4.6242D-01       4.6827D+00      -9.3753D-03
    2.8000D+01       4.5126D+00       4.4173D+00       4.4224D+00       4.7128D-01       4.4650D+00      -1.0678D-02
    2.9000D+01       4.3037D+00       4.2008D+00       4.2055D+00       4.7813D-01       4.2523D+00      -1.2105D-02
    3.0000D+01       4.1004D+00       3.9899D+00       3.9940D+00       4.8295D-01       4.0452D+00      -1.3657D-02
    3.1000D+01       3.9031D+00       3.7852D+00       3.7886D+00       4.8576D-01       3.8442D+00      -1.5339D-02
    3.2000D+01       3.7123D+00       3.5871D+00       3.5896D+00       4.8658D-01       3.6497D+00      -1.7152D-02
    3.3000D+01       3.5281D+00       3.3959D+00       3.3974D+00       4.8548D-01       3.4620D+00      -1.9096D-02
    3.4000D+01       3.3509D+00       3.2119D+00       3.2123D+00       4.8251D-01       3.2814D+00      -2.1168D-02
    3.5000D+01       3.1808D+00       3.0355D+00       3.0346D+00       4.7776D-01       3.1081D+00      -2.3366D-02
    3.6000D+01       3.0179D+00       2.8668D+00       2.8644D+00       4.7134D-01       2.9423D+00      -2.5683D-02
    3.7000D+01       2.8623D+00       2.7058D+00       2.7019D+00       4.6336D-01       2.7840D+00      -2.8110D-02
    3.8000D+01       2.7140D+00       2.5526D+00       2.5470D+00       4.5393D-01       2.6333D+00      -3.0638D-02
    3.9000D+01       2.5729D+00       2.4073D+00       2.3999D+00       4.4320D-01       2.4901D+00      -3.3252D-02
    4.0000D+01       2.4390D+00       2.2697D+00       2.2604D+00       4.3130D-01       2.3543D+00      -3.5937D-02
    4.1000D+01       2.3120D+00       2.1398D+00       2.1284D+00       4.1837D-01       2.2259D+00      -3.8673D-02
    4.2000D+01       2.1919D+00       2.0174D+00       2.0038D+00       4.0456D-01       2.1047D+00      -4.1439D-02
    4.3000D+01       2.0784D+00       1.9024D+00       1.8865D+00       3.9001D-01       1.9904D+00      -4.4211D-02
    4.4000D+01       1.9713D+00       1.7945D+00       1.7762D+00       3.7487D-01       1.8829D+00      -4.6962D-02
    4.5000D+01       1.8704D+00       1.6934D+00       1.6727D+00       3.5927D-01       1.7819D+00      -4.9666D-02
    4.6000D+01       1.7754D+00       1.5990D+00       1.5758D+00       3.4336D-01       1.6872D+00      -5.2292D-02
    4.7000D+01       1.6861D+00       1.5108D+00       1.4851D+00       3.2726D-01       1.5985D+00      -5.4811D-02
    4.8000D+01       1.6021D+00       1.4288D+00       1.4004D+00       3.1110D-01       1.5154D+00      -5.7192D-02
    4.9000D+01       1.5232D+00       1.3524D+00       1.3214D+00       2.9500D-01       1.4378D+00      -5.9407D-02
    5.0000D+01       1.4491D+00       1.2814D+00       1.2478D+00       2.7905D-01       1.3653D+00      -6.1427D-02
    5.1000D+01       1.3796D+00       1.2155D+00       1.1792D+00       2.6336D-01       1.2975D+00      -6.3226D-02
    5.2000D+01       1.3143D+00       1.1543D+00       1.1155D+00       2.4802D-01       1.2343D+00      -6.4782D-02
    5.3000D+01       1.2530D+00       1.0976D+00       1.0562D+00       2.3310D-01       1.1753D+00      -6.6074D-02
    5.4000D+01       1.1954D+00       1.0451D+00       1.0010D+00       2.1867D-01       1.1202D+00      -6.7089D-02
    5.5000D+01       1.1413D+00       9.9633D-01       9.4976D-01       2.0478D-01       1.0688D+00      -6.7813D-02
    5.6000D+01       1.0904D+00       9.5112D-01       9.0209D-01       1.9148D-01       1.0208D+00      -6.8243D-02
    5.7000D+01       1.0426D+00       9.0916D-01       8.5774D-01       1.7880D-01       9.7588D-01      -6.8376D-02
    5.8000D+01       9.9760D-01       8.7018D-01       8.1645D-01       1.6677D-01       9.3389D-01      -6.8217D-02
    5.9000D+01       9.5519D-01       8.3394D-01       7.7798D-01       1.5541D-01       8.9456D-01      -6.7775D-02
    6.0000D+01       9.1522D-01       8.0018D-01       7.4209D-01       1.4472D-01       8.5770D-01      -6.7062D-02
    6.1000D+01       8.7751D-01       7.6870D-01       7.0856D-01       1.3471D-01       8.2310D-01      -6.6099D-02
    6.2000D+01       8.4189D-01       7.3927D-01       6.7719D-01       1.2537D-01       7.9058D-01      -6.4905D-02
    6.3000D+01       8.0823D-01       7.1171D-01       6.4780D-01       1.1668D-01       7.5997D-01      -6.3507D-02
    6.4000D+01       7.7639D-01       6.8583D-01       6.2020D-01       1.0863D-01       7.3111D-01      -6.1931D-02
    6.5000D+01       7.4625D-01       6.6149D-01       5.9423D-01       1.0119D-01       7.0387D-01      -6.0209D-02
    6.6000D+01       7.1769D-01       6.3852D-01       5.6976D-01       9.4343D-02       6.7810D-01      -5.8371D-02
    6.7000D+01       6.9061D-01       6.1680D-01       5.4665D-01       8.8049D-02       6.5371D-01      -5.6450D-02
    6.8000D+01       6.6492D-01       5.9621D-01       5.2477D-01       8.2277D-02       6.3057D-01      -5.4478D-02
    6.9000D+01       6.4053D-01       5.7664D-01       5.0401D-01       7.6995D-02       6.0859D-01      -5.2489D-02
    7.0000D+01       6.1737D-01       5.5800D-01       4.8429D-01       7.2166D-02       5.8769D-01      -5.0514D-02
    7.1000D+01       5.9537D-01       5.4020D-01       4.6551D-01       6.7754D-02       5.6778D-01      -4.8585D-02
    7.2000D+01       5.7445D-01       5.2316D-01       4.4759D-01       6.3722D-02       5.4881D-01      -4.6731D-02
    7.3000D+01       5.5456D-01       5.0682D-01       4.3047D-01       6.0037D-02       5.3069D-01      -4.4980D-02
