 numangles= 181
  g= 6.10595D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    0.0000D+00       6.7647D+00       6.7647D+00       6.7647D+00       0.0000D+00       6.7647D+00       0.0000D+00
    1.0000D+00       6.7604D+00       6.7608D+00       6.7606D+00       6.1580D-04       6.7606D+00       3.3993D-05
    2.0000D+00       6.7473D+00       6.7492D+00       6.7483D+00       2.4591D-03       6.7483D+00       1.3590D-04
    3.0000D+00       6.7256D+00       6.7298D+00       6.7277D+00       5.5175D-03       6.7277D+00       3.0549D-04
    4.0000D+00       6.6954D+00       6.7027D+00       6.6990D+00       9.7706D-03       6.6991D+00       5.4239D-04
    5.0000D+00       6.6568D+00       6.6680D+00       6.6624D+00       1.5190D-02       6.6624D+00       8.4607D-04
    6.0000D+00       6.6099D+00       6.6260D+00       6.6179D+00       2.1740D-02       6.6179D+00       1.2158D-03
    7.0000D+00       6.5549D+00       6.5766D+00       6.5657D+00       2.9376D-02       6.5657D+00       1.6509D-03
    8.0000D+00       6.4921D+00       6.5201D+00       6.5060D+00       3.8049D-02       6.5061D+00       2.1502D-03
    9.0000D+00       6.4218D+00       6.4567D+00       6.4390D+00       4.7700D-02       6.4392D+00       2.7125D-03
    1.0000D+01       6.3442D+00       6.3866D+00       6.3650D+00       5.8267D-02       6.3654D+00       3.3367D-03
    1.1000D+01       6.2596D+00       6.3101D+00       6.2843D+00       6.9680D-02       6.2849D+00       4.0211D-03
    1.2000D+01       6.1684D+00       6.2274D+00       6.1971D+00       8.1866D-02       6.1979D+00       4.7640D-03
    1.3000D+01       6.0710D+00       6.1389D+00       6.1038D+00       9.4745D-02       6.1049D+00       5.5637D-03
    1.4000D+01       5.9676D+00       6.0447D+00       6.0047D+00       1.0824D-01       6.0062D+00       6.4181D-03
    1.5000D+01       5.8589D+00       5.9453D+00       5.9002D+00       1.2225D-01       5.9021D+00       7.3248D-03
    1.6000D+01       5.7451D+00       5.8410D+00       5.7906D+00       1.3670D-01       5.7930D+00       8.2815D-03
    1.7000D+01       5.6266D+00       5.7321D+00       5.6763D+00       1.5150D-01       5.6794D+00       9.2855D-03
    1.8000D+01       5.5040D+00       5.6190D+00       5.5577D+00       1.6655D-01       5.5615D+00       1.0334D-02
    1.9000D+01       5.3777D+00       5.5020D+00       5.4352D+00       1.8177D-01       5.4398D+00       1.1424D-02
    2.0000D+01       5.2480D+00       5.3815D+00       5.3092D+00       1.9705D-01       5.3148D+00       1.2551D-02
    2.1000D+01       5.1156D+00       5.2578D+00       5.1801D+00       2.1231D-01       5.1867D+00       1.3714D-02
    2.2000D+01       4.9807D+00       5.1315D+00       5.0484D+00       2.2746D-01       5.0561D+00       1.4906D-02
    2.3000D+01       4.8440D+00       5.0027D+00       4.9143D+00       2.4242D-01       4.9233D+00       1.6126D-02
    2.4000D+01       4.7057D+00       4.8720D+00       4.7783D+00       2.5708D-01       4.7888D+00       1.7367D-02
    2.5000D+01       4.5663D+00       4.7396D+00       4.6409D+00       2.7139D-01       4.6530D+00       1.8626D-02
    2.6000D+01       4.4263D+00       4.6060D+00       4.5023D+00       2.8524D-01       4.5161D+00       1.9899D-02
    2.7000D+01       4.2860D+00       4.4715D+00       4.3631D+00       2.9858D-01       4.3788D+00       2.1178D-02
